stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
STP-0453,0453,FRAGONARD,,43.6573042,6.9218508,,,0,STA-STP-0453,,
STP-0454,0454,LA FRAYERE,,43.6240011,6.9155472,,,0,STA-STP-0454,,
STP-0455,0455,LA FRAYERE,,43.6237626,6.9155838,,,0,STA-STP-0455,,
STP-0456,0456,LES FUSTIERS,,43.6348859,6.8819648,,,0,STA-STP-0456,,
STP-0458,0458,LES GABRES,,43.60664209,6.90187819,,,0,STA-STP-0458,,
STP-0459,0459,GALLOT,,43.6654657,6.8975376,,,0,STA-STP-0459,,
STP-0460,0460,GALLOT,,43.6655148,6.8960086,,,0,STA-STP-0460,,
STP-0461,0461,GAMBETTA,,43.6605001,6.9254327,,,0,STA-STP-0461,,
STP-0462,0462,PLACE DE LA BUANDERIE,,43.66104305,6.92317004,,,0,STA-STP-0462,,
STP-0463,0463,GRASSE SNCF,,43.6532192,6.9254575,,,0,STA-STP-0463,,1
STP-0465,0465,GASTON DE FONTMICHEL,,43.63577443,6.95666636,,,0,STA-STP-0465,,1
STP-0466,0466,GASTON DE FONTMICHEL,,43.63569702,6.95687546,,,0,STA-STP-0466,,1
STP-0467,0467,GASTOUNETTE,,43.6341027,6.8508698,,,0,STA-STP-0467,,1
STP-0468,0468,GASTOUNETTE,,43.6340981,6.8505962,,,0,STA-STP-0468,,
STP-0469,0469,LES GENETS,,43.6481713,6.9243181,,,0,STA-STP-0469,,
STP-0470,0470,LES GENETS,,43.648501,6.9239422,,,0,STA-STP-0470,,
STP-0471,0471,LES GLYCINES,,43.6304825,6.9257474,,,0,STA-STP-0471,,
STP-0472,0472,LES GLYCINES,,43.6304199,6.9256328,,,0,STA-STP-0472,,
STP-0473,0473,LES GOURETTES,,43.6151212,6.9747426,,,0,STA-STP-0473,,1
STP-0474,0474,LES GOURETTES,,43.615623,6.974591,,,0,STA-STP-0474,,1
STP-0475,0475,LES GOURGUETTES,,43.5811901,6.9590505,,,0,STA-STP-0475,,
STP-0476,0476,LES GOURGUETTES,,43.5807958,6.9591623,,,0,STA-STP-0476,,
STP-0479,0479,GRAND HOTEL,,43.6633872,6.9297918,,,0,STA-STP-0479,,
STP-0480,0480,GRAND HOTEL,,43.6634534,6.9294325,,,0,STA-STP-0480,,
STP-0481,0481,LE GRAND JARDIN,,43.6190874,6.9757782,,,0,STA-STP-0481,,
STP-0482,0482,LE GRAND JARDIN,,43.6192887,6.9758889,,,0,STA-STP-0482,,
STP-0483,0483,LE GRAND JAS,,43.6004695,6.931404,,,0,STA-STP-0483,,
STP-0484,0484,LE GRAND JAS,,43.6004721,6.9315157,,,0,STA-STP-0484,,
STP-0485,0485,GRAOU DE THANON,,43.6707583,6.7973732,,,0,STA-STP-0485,,
STP-0486,0486,GRAOU DE THANON,,43.6701467,6.7979126,,,0,STA-STP-0486,,
STP-0489,0489,LES GROTTES,,43.6578579,6.8115498,,,0,STA-STP-0489,,
STP-0490,0490,LES GUICHARDS,,43.6405037,6.8529511,,,0,STA-STP-0490,,
STP-0491,0491,LES GUICHARDS,,43.6412293,6.854346,,,0,STA-STP-0491,,
STP-0492,0492,GUY DE MAUPASSANT,,43.6524834,6.9147123,,,0,STA-STP-0492,,
STP-0493,0493,GUY DE MAUPASSANT,,43.6525124,6.9145807,,,0,STA-STP-0493,,
STP-0495,0495,LA HALTE,,43.64136674,6.91134602,,,0,STA-STP-0495,,
STP-0496,0496,LA HALTE,,43.6418637,6.9111979,,,0,STA-STP-0496,,
STP-0497,0497,HAMEAU DES CASTORS,,43.6415923,6.9325019,,,0,STA-STP-0497,,
STP-0498,0498,HAMEAU DES CASTORS,,43.6416241,6.9326609,,,0,STA-STP-0498,,
STP-0499,0499,HAUT COULOUBRIER,,43.6201514,6.9182786,,,0,STA-STP-0499,,
STP-0500,0500,HAUT COULOUBRIER,,43.6197846,6.9182895,,,0,STA-STP-0500,,
STP-0501,0501,LES HAUTES RIBES,,43.6652737,6.8945716,,,0,STA-STP-0501,,
STP-0502,0502,LES HAUTES RIBES,,43.6652492,6.89372,,,0,STA-STP-0502,,
