distance_km,dist_to_600,co2_train_kg,co2_avion_kg,vehicule_type,origin_station_traffic,origin_city_population,dest_station_traffic,dest_city_population,ratio_origin,ratio_dest,trip_count_corridor,trip_count_origin,service_share,is_substitutable
142.01068289467102,-457.98931710532895,5.260643737150193,92.67738826128232,7,0.0,0.0,0.0,0.0,0.0,0.0,401.0,1310.0,0.3061068702290076,1
243.53319362609537,-356.46680637390466,1.9331664910039452,107.09216729010414,12,159783.0,4261.0,7871334.0,519127.0,37.49894390988031,15.162636503206345,30.0,689.0,0.0435413642960812,1
243.0990024819262,-356.90099751807384,0.2144133201890589,99.63663619113876,14,0.0,111840.0,0.0,201741.0,0.0,0.0,462.0,11016.0,0.0419389978213507,1
115.9065192044472,-484.0934807955528,2.2490500986430932,71.87813454250849,13,0.0,0.0,0.0,24434.0,0.0,0.0,11.0,915.0,0.0120218579234972,1
171.72899086302837,-428.27100913697166,1.3631847294707191,108.0790630462234,13,1696120.0,45102.0,436593.0,9016.0,37.6063145758503,48.42424578527063,221.0,899.0,0.2458286985539488,1
188.4757464071752,-411.52425359282483,10.805314541523355,79.51283648300002,12,0.0,0.0,106903.0,0.0,0.0,0.0,10.0,238.0,0.042016806722689,1
136.47820623212073,-463.5217937678793,1.0833640010705743,71.59576689825984,7,9444.0,4026.0,585807.0,15115.0,2.34575260804769,38.75666556400926,7.0,15.0,0.4666666666666667,1
119.97983614040052,-480.0201638595995,0.1058222154758332,79.68933964839952,13,0.0,48033.0,0.0,5086.0,0.0,0.0,14.0,937.0,0.0149413020277481,1
187.99828538068215,-412.00171461931785,1.4923303893518551,117.09825546822356,12,198358.0,13401.0,23006240.0,267991.0,14.8017312140885,85.84706202820244,3.0,116.0,0.0258620689655172,1
211.1303250493416,-388.8696749506584,6.331376187579657,76.85254781736617,12,10234.0,3582.0,59671.0,0.0,2.857063093243998,0.0,5.0,10.0,0.5,1
132.94510262043147,-467.0548973795685,7.621742733229337,90.94343742708575,12,0.0,0.0,0.0,963395.0,0.0,0.0,109.0,239.0,0.4560669456066946,1
218.70164557551516,-381.29835442448484,1.736053662578439,85.64479282613746,7,4922516.0,146351.0,1104562.0,0.0,33.635000785782125,0.0,8.0,1467.0,0.0054533060668029,1
437.22171964934057,-162.77828035065943,0.3856295567307183,131.2284822848594,12,0.0,0.0,11803.0,0.0,0.0,0.0,3.0,3.0,1.0,1
123.5632291500065,-476.4367708499935,0.9808449129927516,80.42738029654537,12,61284.0,0.0,131129.0,22718.0,0.0,5.772030988643366,7.0,73.0,0.0958904109589041,1
113.31835043542677,-486.68164956457326,6.496541030463017,73.63475659234636,12,0.0,217123.0,106903.0,330579.0,0.0,0.32338109801288045,109.0,250.0,0.436,1
127.47334976231478,-472.5266502376852,1.0118834504132546,87.1716649893527,12,8102780.0,161830.0,440344.0,580.0,50.069702774516465,759.2137931034483,16.0,2466.0,0.0064882400648824,1
214.58578746001797,-385.41421253998203,1.7033819808576227,85.0717938334448,13,503.0,13756.0,1541777.0,35177.0,0.03656586216923524,43.829121300849984,7.0,203.0,0.0344827586206896,1
