origin,destination,vehicule_type,station_lat,station_long,station_lat_dest,station_long_dest,departure_time,arrival_time,shape_distance_km,source,provider,origin_city,destination_city,distance_km,co2_kg,airport_origin_name,airport_dest_name
Altona,München Hbf Gleis 10,EuroNight,53.5519791,9.9343519,48.1401586,11.5538976,09:03:00,15:06:00,,mobility_db,FR_BBS_Schapfl_mdb-770,Altona,München Hbf Gleis 10,612.3717062607185,35.10726991992699,,
Altona,München Hbf Gleis 12,Avion,53.5352783203125,9.835556030273438,48.239166,11.559334,,,,airports,OurAirports,Altona,München Hbf Gleis 12,601.138112845234,147.75416957567128,Hamburg-Finkenwerder Airport,Schleissheim Airfield
Altona,München Hbf Gleis 12,EuroNight,53.5519791,9.9343519,48.1399368,11.5574908,09:03:00,15:06:00,,mobility_db,FR_BBS_Schapfl_mdb-770,Altona,München Hbf Gleis 12,612.4426841781553,35.11133908393365,,
Altona,München Hbf Gleis 14,Avion,53.5352783203125,9.835556030273438,48.239166,11.559334,,,,airports,OurAirports,Altona,München Hbf Gleis 14,601.138112845234,147.75416957567128,Hamburg-Finkenwerder Airport,Schleissheim Airfield
Altona,München Hbf Gleis 14,EuroNight,53.5519791,9.9343519,48.1400807,11.5575178,09:03:00,15:06:00,,mobility_db,FR_BBS_Schapfl_mdb-770,Altona,München Hbf Gleis 14,612.427282339529,35.110456096525205,,
Altona,Ostbahnhof Gleis 6,Avion,53.5352783203125,9.835556030273438,48.239166,11.559334,,,,airports,OurAirports,Altona,Ostbahnhof Gleis 6,601.138112845234,147.75416957567128,Hamburg-Finkenwerder Airport,Schleissheim Airfield
Altona,Ostbahnhof Gleis 6,EuroNight,53.5519791,9.9343519,48.1274186,11.6053531,13:06:00,19:41:00,,mobility_db,FR_BBS_Schapfl_mdb-770,Altona,Ostbahnhof Gleis 6,614.4433928225856,35.22603971051883,,
Altona,Ostbahnhof Gleis 8,Avion,53.5352783203125,9.835556030273438,48.239166,11.559334,,,,airports,OurAirports,Altona,Ostbahnhof Gleis 8,601.138112845234,147.75416957567128,Hamburg-Finkenwerder Airport,Schleissheim Airfield
Altona,Ostbahnhof Gleis 8,EuroNight,53.5519791,9.9343519,48.1273047,11.6055327,07:57:00,14:32:00,,mobility_db,FR_BBS_Schapfl_mdb-770,Altona,Ostbahnhof Gleis 8,614.4582494975222,35.22689144369295,,
Altona,Pasing Gleis 9,Avion,53.5352783203125,9.835556030273438,48.228675,11.422134,,,,airports,OurAirports,Altona,Pasing Gleis 9,600.4324282103984,147.58071884118212,Hamburg-Finkenwerder Airport,Dachau-Gröbenried Airfield
Altona,Pasing Gleis 9,EuroNight,53.5519791,9.9343519,48.1500966,11.461955,07:57:00,14:15:00,,mobility_db,FR_BBS_Schapfl_mdb-770,Altona,Pasing Gleis 9,610.121063131595,34.97824054933434,,
Altona,Rosenheim,Avion,53.5352783203125,9.835556030273438,47.74075,12.11548,,,,airports,OurAirports,Altona,Rosenheim,663.9881309184939,177.0967895165617,Hamburg-Finkenwerder Airport,Brannenburg Airfield
Altona,Rosenheim,EuroNight,53.5519791,9.9343519,47.8499013,12.1191804,07:57:00,15:04:00,,mobility_db,FR_BBS_Schapfl_mdb-770,Altona,Rosenheim,652.3626648190935,37.39995157407863,,
Altstädten (Allgäu),Neu-Ulm,Train Longue Distance,47.4883577,10.280886,48.3935198,10.0058308,19:55:00,21:37:00,,mobility_db,FR_BBS_Schapfl_mdb-770,Altstädten (Allgäu),Neu-Ulm,102.71343654278625,0.0905932510307375,,
Altstädten (Allgäu),Ulm Hbf,Train Longue Distance Nuit,47.4883577,10.280886,48.3993531,9.9825824,05:50:00,07:43:00,,mobility_db,FR_BBS_Schapfl_mdb-770,Altstädten (Allgäu),Ulm Hbf,103.70601495362367,0.09146870518909607,,
Amsterdam Centraal,Innsbruck Hbf,Avion,52.308601,4.76389,47.260201,11.344,,,,airports,OurAirports,Amsterdam Centraal,Innsbruck Hbf,733.0795329465248,183.30433797467967,Amsterdam Airport Schiphol,Innsbruck Airport
Amsterdam Centraal,Innsbruck Hbf,Nightjet,52.37921,4.90029,47.26337,11.40111,2026-03-16 18:28:00,2026-03-16 09:14:00,,back_on_track,BackOnTrack,Amsterdam Centraal,Innsbruck Hbf,734.988320977054,36.95080284880041,,
Amsterdam Centraal,Milano Centrale,Avion,52.308601,4.76389,45.541389,9.202222,,,,airports,OurAirports,Amsterdam Centraal,Milano Centrale,818.986203393274,222.89528511551345,Amsterdam Airport Schiphol,Milano-Bresso Airfield
Amsterdam Centraal,Milano Centrale,InterCity,52.37921,4.90029,45.48727,9.20511,,,,back_on_track,BackOnTrack,Amsterdam Centraal,Milano Centrale,827.9841081104923,41.62607305114689,,
Amsterdam Centraal,Wien Hbf,Avion,52.308601,4.76389,48.110298,16.5697,,,,airports,OurAirports,Amsterdam Centraal,Wien Hbf,959.4795093414516,240.8216810086296,Amsterdam Airport Schiphol,Vienna International Airport
Amsterdam Centraal,Wien Hbf,Nightjet,52.37921,4.90029,48.1851,16.37711,2026-03-16 18:28:00,2026-03-16 09:17:00,,back_on_track,BackOnTrack,Amsterdam Centraal,Wien Hbf,937.867979856593,47.15037481931036,,
Amsterdam Centraal,Zürich HB,Avion,52.308601,4.76389,47.398602,8.64823,,,,airports,OurAirports,Amsterdam Centraal,Zürich HB,612.6696712008417,150.58851960661812,Amsterdam Airport Schiphol,Dübendorf Air Base
Amsterdam Centraal,Zürich HB,Nightjet,52.37921,4.90029,47.37818,8.54021,2026-03-16 20:15:00,2026-03-16 08:05:00,,back_on_track,BackOnTrack,Amsterdam Centraal,Zürich HB,614.0212783148834,30.869305746002446,,
Ankara,Kars,Avion,39.935001,32.740799,40.562198638916016,43.1150016784668,,,,airports,OurAirports,Ankara,Kars,882.6942942140512,221.54920629337312,Güvercinlik Airport,Kars Airport
Ankara,Kars,InterCity,39.93498,32.84395,40.60528,43.10639,2026-03-16 18:00:00,2026-03-16 20:26:00,,back_on_track,BackOnTrack,Ankara,Kars,873.3727363721096,57.773606511015046,,
Ankara,Kurtalan,Avion,39.935001,32.740799,37.97890090942383,41.84040069580078,,,,airports,OurAirports,Ankara,Kurtalan,815.9034879143746,222.0562932707762,Güvercinlik Airport,Siirt Airport
Ankara,Kurtalan,InterCity,39.93498,32.84395,37.92809,41.69722,2026-03-16 11:20:00,2026-03-16 14:10:00,,back_on_track,BackOnTrack,Ankara,Kurtalan,797.2439001981827,52.73768399810979,,
