origin,destination,vehicule_type,station_lat,station_long,station_lat_dest,station_long_dest,departure_time,arrival_time,shape_distance_km,source,provider,origin_city,destination_city,distance_km
Albbruck Bahnhof,Dogern Bahnhof,Train Longue Distance Nuit,47.5922386,8.1317835,47.6091687,8.1679227,06:12:00,06:15:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Albbruck Bahnhof,Dogern Bahnhof,3.2994144962398093
Albbruck Bahnhof,Erzingen (Baden) Bahnhof,Train Longue Distance Nuit,47.5922386,8.1317835,47.659551,8.430096,06:12:00,06:43:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Albbruck Bahnhof,Erzingen (Baden) Bahnhof,23.575762586416968
Albbruck Bahnhof,Friedrichshafen Hafenbahnhof,Train Longue Distance,47.5922386,8.1317835,47.6515396,9.4824544,12:20:00,14:16:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Albbruck Bahnhof,Friedrichshafen Hafenbahnhof,101.44281864633193
Albbruck Bahnhof,Friedrichshafen Stadtbahnhof,Train Longue Distance Nuit,47.5922386,8.1317835,47.6533671,9.473588,06:12:00,08:28:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Albbruck Bahnhof,Friedrichshafen Stadtbahnhof,100.79148746825035
Albbruck Bahnhof,Gottmadingen Bahnhof,Train Longue Distance Nuit,47.5922386,8.1317835,47.7373685,8.7755611,06:12:00,07:12:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Albbruck Bahnhof,Gottmadingen Bahnhof,50.83905067408323
Albbruck Bahnhof,Grenzach Bahnhof,Train Longue Distance,47.5922144,8.1315858,47.5509717,7.6595391,21:39:00,22:19:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Albbruck Bahnhof,Grenzach Bahnhof,35.70845602686558
Albbruck Bahnhof,Herten (Baden) Bahnhof,Train Longue Distance,47.5922144,8.1315858,47.5496863,7.7406121,21:39:00,22:12:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Albbruck Bahnhof,Herten (Baden) Bahnhof,29.70982232054569
Albbruck Bahnhof,Lauchringen Bahnhof,Train Longue Distance Nuit,47.5922386,8.1317835,47.6289993,8.3224329,22:38:00,22:55:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Albbruck Bahnhof,Lauchringen Bahnhof,14.864855552449683
Albbruck Bahnhof,Lauchringen Westbahnhof,Train Longue Distance Nuit,47.5922386,8.1317835,47.6326861,8.3085989,22:38:00,22:53:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Albbruck Bahnhof,Lauchringen Westbahnhof,13.996569670333626
Albbruck Bahnhof,Laufenburg (Baden) Bahnhof,Train Longue Distance,47.5922144,8.1315858,47.563157,8.0579779,21:39:00,21:45:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Albbruck Bahnhof,Laufenburg (Baden) Bahnhof,6.397300153902209
