origin,destination,vehicule_type,station_lat,station_long,station_lat_dest,station_long_dest,departure_time,arrival_time,shape_distance_km,source,provider,origin_city,destination_city,distance_km,co2_kg,airport_origin_name,airport_dest_name
Gare de Maintenon,Gare de Le Mans,Train Longue Distance,48.5854799,1.5920603,47.9956159,0.1926141,17:02:00,19:18:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Maintenon,Gare de Le Mans,122.56059021698034,0.97288596514239,,
Gare de Maintenon,Gare de Montfort-le-Gesnois,Train Longue Distance,48.5854799,1.5920603,48.0405728,0.4062319,17:02:00,19:02:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Maintenon,Gare de Montfort-le-Gesnois,106.58799006560002,0.846095465140733,,
Gare de Maintenon,Gare de Saint-Mars-la-Brière,Train Longue Distance,48.5854799,1.5920603,48.0285279,0.3657048,17:02:00,19:06:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Maintenon,Gare de Saint-Mars-la-Brière,109.82534739282657,0.8717936076042573,,
Gare de Mantes-la-Jolie,Gare de Caen,EuroNight,48.9898402,1.70337,49.1763537,-0.347613,12:37:00,14:04:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Mantes-la-Jolie,Gare de Caen,150.79839043665098,1.1970376232861353,,
Gare de Mer,Gare de Ancenis,Train Longue Distance,47.7058923,1.5063578,47.369337,-1.1777593,17:06:00,19:40:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Mer,Gare de Ancenis,204.9269735280253,1.6267103158654648,,
Gare de Mer,Gare de Angers Saint-Laud,Train Longue Distance,47.7058923,1.5063578,47.4646464,-0.5567748,17:06:00,19:17:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Mer,Gare de Angers Saint-Laud,157.03821353576552,1.2465693390469066,,
Gare de Mer,Gare de Batz-sur-Mer,Train Longue Distance,47.7058923,1.5063578,47.28086,-2.4788695,17:06:00,21:18:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Mer,Gare de Batz-sur-Mer,303.08836014902613,2.405915402862969,,
Gare de Mer,Gare de La Baule les Pins,Train Longue Distance,47.7058923,1.5063578,47.2834533,-2.3648905,17:06:00,21:04:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Mer,Gare de La Baule les Pins,294.5823204369318,2.3383944596283643,,
Gare de Mer,Gare de La Baule-Escoublac,Train Longue Distance,47.7058923,1.5063578,47.2884613,-2.389211,17:06:00,21:09:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Mer,Gare de La Baule-Escoublac,296.284237756839,2.3519042793137883,,
Gare de Mer,Gare de Le Croisic,Train Longue Distance,47.7058923,1.5063578,47.2898903,-2.5073397,17:06:00,21:22:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Mer,Gare de Le Croisic,305.0212903539292,2.42125900282949,,
Gare de Mer,Gare de Le Pouliguen,Train Longue Distance,47.7058923,1.5063578,47.2825083,-2.4331287,17:06:00,21:13:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Mer,Gare de Le Pouliguen,299.66201919237386,2.3787171083490635,,
Gare de Mer,Gare de Nantes,Train Longue Distance,47.7058923,1.5063578,47.2174913,-1.542077,17:06:00,20:06:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Mer,Gare de Nantes,235.50167531059327,1.8694122986154893,,
Gare de Mer,Gare de Pornichet,Train Longue Distance,47.7058923,1.5063578,47.2704262,-2.3448644,17:06:00,21:00:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Mer,Gare de Pornichet,293.36843493124536,2.328758636484226,,
Gare de Mer,Gare de Saint-Nazaire,Train Longue Distance,47.7058923,1.5063578,47.2864903,-2.211079,17:06:00,20:47:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Mer,Gare de Saint-Nazaire,283.12011064155996,2.247407438272703,,
Gare de Mer,Gare de Saumur,Train Longue Distance,47.7058923,1.5063578,47.2689958,-0.0714032,17:06:00,18:53:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Mer,Gare de Saumur,128.11774053125802,1.016998624337126,,
Gare de Mer,Gare de Savenay,Train Longue Distance,47.7058923,1.5063578,47.3586008,-1.951011,17:06:00,20:32:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Mer,Gare de Savenay,262.3995175336142,2.0829273701818294,,
