origin,destination,vehicule_type,co2_train_kg,co2_avion_kg,co2_saved_kg,is_substitutable,distance_km,station_lat,station_long,station_lat_dest,station_long_dest,origin_city,destination_city,origin_station_traffic,origin_city_population,dest_station_traffic,dest_city_population
Ankara,İzmir Basmane,InterCity,34.34299709480415,140.42012256908865,106.0771254742845,1,519.1685123931088,39.93498,32.84395,38.42271,27.14408,Ankara,İzmir Basmane,,3517182.0,,2938292.0
Arad,București Nord,InterCity,17.733158356745523,127.63186999136757,109.89871163462205,1,418.867119159711,46.19134,21.32492,44.44677,26.07441,Arad,București Nord,123919.0,169065.0,,
Augsburg Hbf,Altona,EuroNight,9.216452110132522,140.9229155649756,131.70646345484306,1,580.5273437977149,48.3655307,10.885533,53.5519791,9.9343519,Augsburg Hbf,Altona,,259196.0,,250192.0
Augsburg Hbf,Hamburg Hbf,EuroNight,9.208814616068336,143.17741052941125,133.9685959133429,1,580.0462721131479,48.3655307,10.885533,53.5527529,10.0079239,Augsburg Hbf,Hamburg Hbf,,259196.0,203396.0,1845229.0
Augsburg Hbf,Heimenkirch,Train Longue Distance Nuit,1.7429390540098508,67.53796526524285,65.795026211233,1,109.78452091268902,48.3650353,10.8854791,47.6288722,9.9022551,Augsburg Hbf,Heimenkirch,,259196.0,,
Augsburg Hbf,Hergatz,Train Longue Distance Nuit,1.7806160573469447,81.7714281466976,79.99081208935065,1,112.15772596037696,48.3650353,10.8854791,47.6466862,9.82712,Augsburg Hbf,Hergatz,,259196.0,,
Augsburg Hbf,Immenstadt,Train Longue Distance Nuit,1.6290849963626148,69.60724480864609,67.97815981228347,1,102.61306351490393,48.3650353,10.8854791,47.5590591,10.214258,Augsburg Hbf,Immenstadt,,259196.0,,
Augsburg Hbf,Karlsruhe Hauptbahnhof,Train Longue Distance,3.100571591020813,80.47574933177594,77.37517774075513,1,195.29929396704543,48.365656,10.8858385,48.993367,8.401278,Augsburg Hbf,Karlsruhe Hauptbahnhof,,259196.0,,283799.0
Augsburg Hbf,Kufstein Bahnhof,EuroNight,2.048498896145976,83.82987781358618,81.78137891744021,1,129.03117259674832,48.3655187,10.8854791,47.5830959,12.1655874,Augsburg Hbf,Kufstein Bahnhof,,259196.0,,
Augsburg Hbf,Lindau-Insel,Train Longue Distance Nuit,2.0308068258540017,81.7714281466976,79.7406213208436,1,127.91678167384742,48.3653218,10.885003,47.5451508,9.6804521,Augsburg Hbf,Lindau-Insel,,259196.0,,24518.0
Augsburg Hbf,Lindau-Reutin,Train Longue Distance Nuit,2.0045625626428802,81.7714281466976,79.76686558405473,1,126.26370387017384,48.3650353,10.8854791,47.5523177,9.7012121,Augsburg Hbf,Lindau-Reutin,,259196.0,28711.0,24518.0
Augsburg Hbf,Nürnberg Hbf,EuroNight,1.91983197310834,76.87927646789355,74.9594444947852,1,120.92668008996851,48.3656739,10.8858924,49.4455099,11.0822371,Augsburg Hbf,Nürnberg Hbf,,259196.0,,515543.0
Augsburg Hbf,Nürnberg Hbf,Train Longue Distance,1.9202212854885965,76.87927646789355,74.95905518240495,1,120.95120215977555,48.3655187,10.8854791,49.445545,11.0822281,Augsburg Hbf,Nürnberg Hbf,,259196.0,,515543.0
Augsburg Hbf,Oberstaufen,Train Longue Distance Nuit,1.7560368021640957,67.53796526524285,65.78192846307876,1,110.60952394583622,48.3650353,10.8854791,47.5539364,10.0255039,Augsburg Hbf,Oberstaufen,,259196.0,,
Augsburg Hbf,Paris Gare de l'Est,Train Longue Distance,9.984448728140709,166.97673354979761,156.9922848216569,0,628.9020362900421,48.365656,10.8858385,48.8785739,2.3603054,Augsburg Hbf,Paris Gare de l'Est,,259196.0,,2103778.0
Augsburg Hbf,Rosenheim,EuroNight,1.7155911898973186,74.6120813854986,72.89649019560127,1,108.06192932081876,48.3655187,10.8854791,47.8499013,12.1191804,Augsburg Hbf,Rosenheim,,259196.0,,60167.0
Augsburg Hbf,Röthenbach (Allgäu),Train Longue Distance Nuit,1.7144193538834402,67.53796526524285,65.8235459113594,1,107.98811752856136,48.3650353,10.8854791,47.6205715,9.9535579,Augsburg Hbf,Röthenbach (Allgäu),,259196.0,,
Augsburg Hbf,Strasbourg Gare Centrale,Train Longue Distance,3.7083561753174346,93.87710291992184,90.1687467446044,1,233.58252553019872,48.365656,10.8858385,48.5853107,7.734279,Augsburg Hbf,Strasbourg Gare Centrale,,259196.0,24568668.0,293771.0
Augsburg Hbf,Stuttgart Hauptbahnhof (oben) Gleis 10,Train Longue Distance,2.121775319863378,86.32842274261672,84.20664742275335,1,133.646719568114,48.365656,10.8858385,48.7847465,9.1832166,Augsburg Hbf,Stuttgart Hauptbahnhof (oben) Gleis 10,,259196.0,,630305.0
Augsburg Messe Bstg 2,Heimenkirch,Train Longue Distance Nuit,1.709389887236203,67.53796526524285,65.82857537800665,1,107.67132068759153,48.3387921,10.8861169,47.6288722,9.9022551,Augsburg Messe Bstg 2,Heimenkirch,,259196.0,,
Augsburg Messe Bstg 2,Hergatz,Train Longue Distance Nuit,1.7486930522856081,81.7714281466976,80.022735094412,1,110.146954666516,48.3387921,10.8861169,47.6466862,9.82712,Augsburg Messe Bstg 2,Hergatz,,259196.0,,
Augsburg Messe Bstg 2,Immenstadt,Train Longue Distance Nuit,1.5892616532582118,69.60724480864609,68.01798315538788,1,100.10466447834541,48.3387921,10.8861169,47.5590591,10.214258,Augsburg Messe Bstg 2,Immenstadt,,259196.0,,
Augsburg Messe Bstg 2,Lindau-Insel,Train Longue Distance Nuit,1.9988889448110136,81.7714281466976,79.77253920188659,1,125.90633313246497,48.3387921,10.8861169,47.5451508,9.6804521,Augsburg Messe Bstg 2,Lindau-Insel,,259196.0,,24518.0
Augsburg Messe Bstg 2,Lindau-Reutin,Train Longue Distance Nuit,1.97246056174206,81.7714281466976,79.79896758495555,1,124.24165795805366,48.3387921,10.8861169,47.5523177,9.7012121,Augsburg Messe Bstg 2,Lindau-Reutin,,259196.0,28711.0,24518.0
Augsburg Messe Bstg 2,Oberstaufen,Train Longue Distance Nuit,1.7190712525018825,67.53796526524285,65.81889401274097,1,108.28113205479231,48.3387921,10.8861169,47.5539364,10.0255039,Augsburg Messe Bstg 2,Oberstaufen,,259196.0,,
Augsburg Messe Bstg 2,Röthenbach (Allgäu),Train Longue Distance Nuit,1.6798487573464576,67.53796526524285,65.85811650789638,1,105.81057932391393,48.3387921,10.8861169,47.6205715,9.9535579,Augsburg Messe Bstg 2,Röthenbach (Allgäu),,259196.0,,
Augsburg Morellstraße,Heimenkirch,Train Longue Distance Nuit,1.7358937589887276,67.53796526524285,65.80207150625412,1,109.34075075514787,48.3550375,10.893025,47.6288722,9.9022551,Augsburg Morellstraße,Heimenkirch,,259196.0,,
Augsburg Morellstraße,Hergatz,Train Longue Distance Nuit,1.7744888751190897,81.7714281466976,79.99693927157851,1,111.77178603672775,48.3550375,10.893025,47.6466862,9.82712,Augsburg Morellstraße,Hergatz,,259196.0,,
Augsburg Morellstraße,Immenstadt,Train Longue Distance Nuit,1.6181363162058302,69.60724480864609,67.98910849244025,1,101.92342631681974,48.3550375,10.893025,47.5590591,10.214258,Augsburg Morellstraße,Immenstadt,,259196.0,,
Augsburg Morellstraße,Lindau-Insel,Train Longue Distance Nuit,2.0247087425376527,81.7714281466976,79.74671940415995,1,127.53267463704034,48.3550375,10.893025,47.5451508,9.6804521,Augsburg Morellstraße,Lindau-Insel,,259196.0,,24518.0
Augsburg Morellstraße,Lindau-Reutin,Train Longue Distance Nuit,1.9983446895192734,81.7714281466976,79.77308345717833,1,125.87205149403334,48.3550375,10.893025,47.5523177,9.7012121,Augsburg Morellstraße,Lindau-Reutin,,259196.0,28711.0,24518.0
Augsburg Morellstraße,Oberstaufen,Train Longue Distance Nuit,1.7469558867815076,67.53796526524285,65.79100937846134,1,110.03753381087853,48.3550375,10.893025,47.5539364,10.0255039,Augsburg Morellstraße,Oberstaufen,,259196.0,,
Augsburg Morellstraße,Röthenbach (Allgäu),Train Longue Distance Nuit,1.7067814487382746,67.53796526524285,65.83118381650458,1,107.50701995076055,48.3550375,10.893025,47.6205715,9.9535579,Augsburg Morellstraße,Röthenbach (Allgäu),,259196.0,,
Aulendorf Bahnhof,"Aalen, Hauptbahnhof",Train Longue Distance,1.6561508500437363,,,0,104.31789178909904,47.9529382,9.6439535,48.8416955,10.096417,Aulendorf Bahnhof,"Aalen, Hauptbahnhof",,,,
Aulendorf Bahnhof,Bad Säckingen Bahnhof,Train Longue Distance,2.130378814312196,89.31685650156261,87.18647768725042,1,134.1886378377548,47.9529683,9.6438996,47.5559371,7.9487877,Aulendorf Bahnhof,Bad Säckingen Bahnhof,,,,16549.0
Aulendorf Bahnhof,Badischer Bahnhof,Train Longue Distance,2.5095571238960392,107.34791910933423,104.83836198543818,1,158.0723811977853,47.9529683,9.6438996,47.5677212,7.6082453,Aulendorf Bahnhof,Badischer Bahnhof,,,,
