origin,destination,vehicule_type,origin_city,destination_city,station_lat,station_long,station_lat_dest,station_long_dest,distance_km,co2_kg,departure_time,arrival_time,source,provider
Gare de Flers,Gare de Paris Montparnasse Hall 1 - 2,EuroNight,Gare de Flers,Gare de Paris Montparnasse Hall 1 - 2,48.7447856,-0.5732157,48.8411711,2.3205138,212.23279610144778,1.6847039354532924,07:32:00,10:06:00,mobility_db,FR_BreizhGo_mdb-1837
Gare de Flers,Gare de Paris Montparnasse Vaugirard,Avion,Gare de Flers,Gare de Paris Montparnasse Vaugirard,48.749964,-0.593927,48.774406,2.203102,205.0234859119462,82.62908507008417,,,airports,OurAirports
Gare de Flers,Gare de Paris Montparnasse Vaugirard,EuroNight,Gare de Flers,Gare de Paris Montparnasse Vaugirard,48.7447856,-0.5732157,48.8411711,2.3205138,212.23279610144778,1.6847039354532924,05:29:00,08:17:00,mobility_db,FR_BreizhGo_mdb-1837
Gare de Flers,Gare de Verneuil-sur-Avre,Avion,Gare de Flers,Gare de Verneuil-sur-Avre,48.749964,-0.593927,48.611944,0.841944,106.52640620953824,68.3404405132149,,,airports,OurAirports
Gare de Flers,Gare de Verneuil-sur-Avre,EuroNight,Gare de Flers,Gare de Verneuil-sur-Avre,48.7447856,-0.5732157,48.7424865,0.9291927,110.16290141126734,0.8744731114026402,05:29:00,06:54:00,mobility_db,FR_BreizhGo_mdb-1837
Gare de Flers,Gare de Versailles Chantiers,Avion,Gare de Flers,Gare de Versailles Chantiers,48.749964,-0.593927,48.812459,2.067533,195.11994289069582,78.63773405408598,,,airports,OurAirports
Gare de Flers,Gare de Versailles Chantiers,EuroNight,Gare de Flers,Gare de Versailles Chantiers,48.7447856,-0.5732157,48.795829,2.1358823,198.61032149191615,1.5765687320028305,05:29:00,08:05:00,mobility_db,FR_BreizhGo_mdb-1837
Gare de Folligny,Gare de Argentan,Avion,Gare de Folligny,Gare de Argentan,48.883099,-1.56417,48.709456,0.002856,116.39252773821963,74.66990487250939,,,airports,OurAirports
Gare de Folligny,Gare de Argentan,EuroNight,Gare de Folligny,Gare de Argentan,48.8299473,-1.407223,48.7385458,-0.0252909,101.75592653493315,0.8077385448342994,18:52:00,20:08:00,mobility_db,FR_BreizhGo_mdb-1837
Gare de Folligny,Gare de Dreux,Avion,Gare de Folligny,Gare de Dreux,48.883099,-1.56417,48.70543,1.361155,215.17909202208585,86.7220231911997,,,airports,OurAirports
