origin,destination,distance_km,co2_saved_kg,is_substitutable,cluster_kmeans,cluster_dbscan
Eriskirch Bahnhof,Stuttgart Hauptbahnhof (oben) Gleis 13,131.05726323264034,86.06057691470568,1,0,0
Eriskirch Bahnhof,Stuttgart Hauptbahnhof (oben) Gleis 14,131.0578083424321,86.06057643391884,1,0,0
Esslingen (N) Gleis 5,Enzisweiler,133.36192169966148,77.48389983247053,1,0,0
Esslingen (N) Gleis 5,Eriskirch Bahnhof,124.5614823112438,71.13683815993643,1,0,0
Esslingen (N) Gleis 5,Friedrichshafen Stadtbahnhof,121.36365182154807,71.32016978191068,1,0,0
Esslingen (N) Gleis 5,Kressbronn Bahnhof,129.1701054862711,77.7242166559842,1,0,0
Esslingen (N) Gleis 5,Langenargen Bahnhof,127.9468644265093,70.94275420326827,1,0,0
Esslingen (N) Gleis 5,Lindau-Aeschach,134.19438211122863,77.43617487707539,1,0,0
Esslingen (N) Gleis 5,Lindau-Reutin,135.2117135104453,77.37785126795829,1,0,0
Esslingen (N) Gleis 5,Meckenbeuren Bahnhof,117.0656204545624,71.56657592017997,1,0,0
Esslingen (N) Gleis 5,Nonnenhorn,131.41454689086078,77.59554283025906,1,0,0
Esslingen (N) Gleis 5,Ravensburg Bahnhof,108.4785150870255,60.9413736644822,1,0,0
Esslingen (N) Gleis 5,Wasserburg (Bodensee),132.14688490925818,77.55355789166435,1,0,0
Friedrichshafen Stadtbahnhof,"Aalen, Hauptbahnhof",139.98370445856744,80.09523709140558,1,0,0
Friedrichshafen Stadtbahnhof,Albbruck Bahnhof,100.80647476203784,75.41650097102206,1,0,0
Friedrichshafen Stadtbahnhof,Amstetten (Württ),107.06213929398376,64.76612109039819,1,0,0
Friedrichshafen Stadtbahnhof,Bad Säckingen Bahnhof,114.82601543062388,75.90983576295834,1,0,0
Friedrichshafen Stadtbahnhof,Badischer Bahnhof,140.15198418763168,95.68065935171788,1,0,0
Friedrichshafen Stadtbahnhof,Ebersbach (F) Gleis 2,118.28161592819012,70.52975939631035,1,0,0
Friedrichshafen Stadtbahnhof,Esslingen (N) Gleis 3,121.38700794167366,78.17088459983547,1,0,0
Friedrichshafen Stadtbahnhof,Geislingen (Steige) Gleis 2,110.84626446052906,73.46881266165275,1,0,0
Friedrichshafen Stadtbahnhof,Geislingen (Steige) Gleis 3,110.85570067737838,73.4688043389095,1,0,0
Friedrichshafen Stadtbahnhof,Giengen (Brenz),121.53951352696602,76.34061031277216,1,0,0
Friedrichshafen Stadtbahnhof,Gingen (F) Gleis 2,114.45651731616572,73.46562841863408,1,0,0
Friedrichshafen Stadtbahnhof,Göppingen Gleis 4,117.1727415081429,70.53073742354883,1,0,0
Friedrichshafen Stadtbahnhof,Heidenheim (Brenz),124.95603460256758,77.9014219251849,1,0,0
Friedrichshafen Stadtbahnhof,Kuchen Gleis 2,112.48129690822525,73.46737056303388,1,0,0
Friedrichshafen Stadtbahnhof,Langenau (Württ),105.25188629786628,68.72727115017724,1,0,0
Friedrichshafen Stadtbahnhof,Laufenburg (Baden) Ost Bahnhof,105.40351530536084,75.91814640806882,1,0,0
Friedrichshafen Stadtbahnhof,"Oberkochen, Bahnhof",134.07403493412627,80.10044941992614,1,0,0
Friedrichshafen Stadtbahnhof,Plochingen Gleis 1,117.95562056455488,78.1739110835021,1,0,0
Friedrichshafen Stadtbahnhof,Reichenbach (F) Gleis 2,117.30431409953152,68.52905956946543,1,0,0
Friedrichshafen Stadtbahnhof,Rheinfelden (Baden) Bahnhof,127.09165228131144,85.04029913901884,1,0,0
