trip_id,agency_name,route_name,train_type,service_type,origin_stop_name,origin_country,destination_stop_name,destination_country,departure_time,arrival_time,distance_km,duration_h,emission_gco2e_pkm,total_emission_kgco2e,source_dataset
CFR 1641/R-E 4008,C.F.R. Călători S.A.,R-E 4007/1642 = 1641/R-E 4008,Train régional,National,București Nord,RO,Bistrița Nord,RO,21:03,05:57,451.0,8:54:00,21.95,9.9,Back-on-Track
CFR 1642 (CN),C.F.R. Călători S.A.,1641 (CN) = 1642 (CN),Train régional,National,Cluj-Napoca,RO,București Nord,RO,20:03,06:20,493.0,10:17:00,20.89,10.3,Back-on-Track
CFR 1642 (SM),C.F.R. Călători S.A.,1641 (SM) = 1642 (SM),Train régional,National,Satu Mare,RO,București Nord,RO,16:20,06:20,758.0,14:00:00,19.53,14.8,Back-on-Track
CFR 1653,C.F.R. Călători S.A.,1653 = 1654,Train régional,National,București Nord,RO,Vatra Dornei Băi,RO,22:35,07:34,606.0,8:59:00,21.45,13.0,Back-on-Track
CFR 1654,C.F.R. Călători S.A.,1653 = 1654,Train régional,National,Vatra Dornei Băi,RO,București Nord,RO,20:28,05:56,606.0,9:28:00,21.45,13.0,Back-on-Track
CFR 1667,C.F.R. Călători S.A.,1667 = 1668,Train régional,National,București Nord,RO,Iași,RO,22:50,05:26,405.0,6:36:00,24.2,9.8,Back-on-Track
CFR 1668,C.F.R. Călători S.A.,1667 = 1668,Train régional,National,Iași,RO,București Nord,RO,22:45,05:28,405.0,6:43:00,24.2,9.8,Back-on-Track
CFR 1744/79,C.F.R. Călători S.A.,78/1743 = 1744/79,Train régional,National,Oradea,RO,București Nord,RO,18:04,08:42,711.0,14:38:00,24.05,17.1,Back-on-Track
CFR 1763,C.F.R. Călători S.A.,1763 = 1765,Train régional,National,Iași,RO,Timişoara Nord,RO,15:35,08:56,849.0,17:21:00,21.2,18.0,Back-on-Track
CFR 1765,C.F.R. Călători S.A.,1763 = 1765,Train régional,National,Timişoara Nord,RO,Iași,RO,14:51,08:13,849.0,17:22:00,21.2,18.0,Back-on-Track
CFR 1821,C.F.R. Călători S.A.,1821 = 1822,Train régional,National,București Nord,RO,Arad,RO,23:28,11:24,604.0,11:56:00,23.18,14.0,Back-on-Track
CFR 1822,C.F.R. Călători S.A.,1821 = 1822,Train régional,National,Arad,RO,București Nord,RO,17:48,05:25,604.0,11:37:00,23.18,14.0,Back-on-Track
CFR 1837,C.F.R. Călători S.A.,1837 = 1838,Train régional,National,Iași,RO,Cluj-Napoca,RO,20:40,05:20,459.0,8:40:00,20.7,9.5,Back-on-Track
CFR 1838,C.F.R. Călători S.A.,1837 = 1838,Train régional,National,Cluj-Napoca,RO,Iași,RO,20:30,05:10,459.0,8:40:00,20.7,9.5,Back-on-Track
CFR 1920,C.F.R. Călători S.A.,1920 = 1922,Train régional,National,Constanța,RO,Oradea,RO,16:43,10:50,991.0,18:07:00,17.092615894039735,16.94,Back-on-Track
CFR 1922,C.F.R. Călători S.A.,1920 = 1922,Train régional,National,Oradea,RO,Constanța,RO,13:54,07:43,991.0,17:49:00,17.092615894039735,16.94,Back-on-Track
CFR 1941,C.F.R. Călători S.A.,1941 = 1942/R 8810,Train régional,National,Satu Mare,RO,Mangalia,RO,12:20,07:30,974.0,19:10:00,17.092615894039735,16.65,Back-on-Track
CFR 1942/R 8810,C.F.R. Călători S.A.,1941 = 1942/R 8810,Train régional,National,Mangalia,RO,Satu Mare,RO,14:26,09:39,974.0,19:13:00,17.092615894039735,16.65,Back-on-Track
CFR 1952,C.F.R. Călători S.A.,1952 = 1954,Train régional,National,Suceava Nord,RO,Constanța,RO,20:25,03:59,526.0,7:34:00,24.14,12.7,Back-on-Track
CFR 1954,C.F.R. Călători S.A.,1952 = 1954,Train régional,National,Constanța,RO,Suceava Nord,RO,23:30,07:16,526.0,7:46:00,24.14,12.7,Back-on-Track
CFR 78/1743,C.F.R. Călători S.A.,78/1743 = 1744/79,Train régional,National,București Nord,RO,Oradea,RO,21:00,11:50,711.0,14:50:00,24.05,17.1,Back-on-Track
