stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,location_type,parent_station,wheelchair_boarding,platform_code
de:08337:4054:0:1,,Laufenburg Sparkasse,47.5660907,8.0653351,,,,0,
de:08337:4054:0:2,,Laufenburg Sparkasse,47.5656543,8.0649937,,,,0,
de:08337:4055:0:1,,Laufenburg Berg,47.5645693,8.0574658,,,,0,
de:08337:4055:0:2,,Laufenburg Berg,47.5631812,8.0568101,,,,0,
de:08337:4056:0:1,,Laufenburg Rhina,47.5582104,8.046165,,,,0,
de:08337:4056:0:2,,Laufenburg Rhina,47.5583681,8.0465603,,,,0,
de:08337:4057:0:1,,Laufenburg Fa.Starck Rhina,47.5557976,8.0393019,,,,0,
de:08337:4057:0:2,,Laufenburg Fa.Starck Rhina,47.55564,8.0389785,,,,0,
de:08337:4058:0:1,,Murg Möbel Brotz,47.5540759,8.0276867,,,,0,
de:08337:4058:0:2,,Murg Möbel Brotz,47.5540819,8.0289533,,,,0,
de:08337:4060:0:1,,Murg Niedermatt,47.5556703,8.0103762,,,,0,
de:08337:4060:0:2,,Murg Niedermatt,47.5553429,8.0113912,,,,0,
de:08337:4061:0:1,,Murg Rothaus,47.5580225,8.000836,,,,0,
de:08337:4061:0:2,,Murg Rothaus,47.5575678,8.0017523,,,,0,
de:08337:4062:0:1,,Obersäckingen,47.5611687,7.9688201,,,,0,
de:08337:4062:0:2,,Obersäckingen,47.5601746,7.9734105,,,,0,
de:08337:4062:0:3,,Obersäckingen,47.5611687,7.9688201,,,,0,
de:08337:4063:0:1,,Bad Säckingen Im Häflä,47.5603443,7.9608071,,,,0,
de:08337:4063:0:2,,Bad Säckingen Im Häflä,47.5602716,7.9609329,,,,0,
de:08337:4063:0:3,,Bad Säckingen Im Häflä,47.5602655,7.9609239,,,,0,
de:08337:4065:0:1,,Murg Murgtalschule West,47.5543487,8.0231232,,,,0,
de:08337:4065:0:2,,Murg Murgtalschule West,47.5541789,8.0230334,,,,0,
de:08337:4066:0:1,,Bad Säckingen Gloria-Theater,47.5554945,7.9416191,,,,0,
de:08337:4066:0:2,,Bad Säckingen Gloria-Theater,47.5563978,7.9440805,,,,0,
de:08337:4067:0:1,,Bad Säckingen Basler Straße,47.5542092,7.9321598,,,,0,
de:08337:4067:0:2,,Bad Säckingen Basler Straße,47.554094,7.932061,,,,0,
