origin,destination,vehicule_type,station_lat,station_long,station_lat_dest,station_long_dest,departure_time,arrival_time,shape_distance_km,source,provider,origin_city,destination_city,distance_km,co2_kg
Badischer Bahnhof,Markdorf Bahnhof,Train Longue Distance Nuit,47.5677212,7.6082453,47.7168416,9.3884457,05:26:00,08:15:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Badischer Bahnhof,Markdorf Bahnhof,134.39347265618358,0.11853504288275392
Badischer Bahnhof,Radolfzell Bahnhof,Train Longue Distance Nuit,47.5677212,7.6082453,47.7356829,8.9691391,05:26:00,07:29:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Badischer Bahnhof,Radolfzell Bahnhof,103.63291535438728,0.09140423134256959
Badischer Bahnhof,"Salem, Bahnhof",Train Longue Distance Nuit,47.5677212,7.6082453,47.7577,9.2969523,05:26:00,08:07:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Badischer Bahnhof,"Salem, Bahnhof",128.21517661356825,0.11308578577316719
Badischer Bahnhof,Uhldingen-Mühlhofen Bahnhof,Train Longue Distance Nuit,47.5677212,7.6082453,47.7369576,9.248578,05:26:00,08:01:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Badischer Bahnhof,Uhldingen-Mühlhofen Bahnhof,124.29768754706564,0.1096305604165119
Bahnhof Überlingen,Badischer Bahnhof,Train Longue Distance,47.7689677,9.1630584,47.5677212,7.6082453,07:10:00,09:12:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Bahnhof Überlingen,Badischer Bahnhof,118.55481153186875,0.10456534377110825
Bahnhof Überlingen,Rheinfelden (Baden) Bahnhof,Train Longue Distance,47.7689677,9.1630584,47.5569071,7.784378,07:10:00,09:00:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Bahnhof Überlingen,Rheinfelden (Baden) Bahnhof,105.90449980612748,0.09340776882900444
Beuggen Bahnhof,Bahnhof Überlingen,Train Longue Distance Nuit,47.5819992,7.8110041,47.7689677,9.1630584,05:44:00,07:55:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Beuggen Bahnhof,Bahnhof Überlingen,103.34069068019238,0.0911464891799297
Beuggen Bahnhof,Bermatingen-Ahausen Bahnhof,Train Longue Distance Nuit,47.5819992,7.8110041,47.7305231,9.3448325,05:44:00,08:11:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Beuggen Bahnhof,Bermatingen-Ahausen Bahnhof,116.06021655749642,0.10236511100371185
Beuggen Bahnhof,Friedrichshafen Stadtbahnhof,Train Longue Distance Nuit,47.5819992,7.8110041,47.6533671,9.473588,05:44:00,08:28:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Beuggen Bahnhof,Friedrichshafen Stadtbahnhof,124.86675182147685,0.11013247510654259
Beuggen Bahnhof,Markdorf Bahnhof,Train Longue Distance Nuit,47.5819992,7.8110041,47.7168416,9.3884457,05:44:00,08:15:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Beuggen Bahnhof,Markdorf Bahnhof,119.10857217464434,0.10505376065803633
Beuggen Bahnhof,"Salem, Bahnhof",Train Longue Distance Nuit,47.5819992,7.8110041,47.7577,9.2969523,05:44:00,08:07:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Beuggen Bahnhof,"Salem, Bahnhof",112.96642633726766,0.0996363880294701
Beuggen Bahnhof,Uhldingen-Mühlhofen Bahnhof,Train Longue Distance Nuit,47.5819992,7.8110041,47.7369576,9.248578,05:44:00,08:01:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Beuggen Bahnhof,Uhldingen-Mühlhofen Bahnhof,109.03365099008492,0.0961676801732549
Biberach (Riß),Bad Säckingen Bahnhof,Train Longue Distance,48.1019531,9.7929571,47.5559371,7.9487877,09:41:00,12:48:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Biberach (Riß),Bad Säckingen Bahnhof,150.4562075366277,2.3886427508515014
Biberach (Riß),Badischer Bahnhof,Train Longue Distance,48.1019531,9.7929571,47.5677212,7.6082453,09:41:00,13:12:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Biberach (Riß),Badischer Bahnhof,173.5461380227689,2.755218487249479
Biberach (Riß),Erzingen (Baden) Bahnhof,Train Longue Distance,48.1019531,9.7929571,47.6601803,8.430635,09:41:00,12:13:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Biberach (Riß),Erzingen (Baden) Bahnhof,112.84597270039654,1.7915426625914956
Biberach (Riß),Lauchringen Bahnhof,Train Longue Distance,48.1019531,9.7929571,47.6289993,8.3224329,09:41:00,12:20:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Biberach (Riß),Lauchringen Bahnhof,121.64964230646076,1.9313097212573709
Biberach (Riß),Rheinfelden (Baden) Bahnhof,Train Longue Distance,48.1019531,9.7929571,47.5569071,7.784378,09:41:00,12:59:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Biberach (Riß),Rheinfelden (Baden) Bahnhof,161.71879064058683,2.5674475202099565
Biberach (Riß),Tiengen (Hochrhein) Bahnhof,Train Longue Distance,48.1019531,9.7929571,47.635513,8.2723429,09:41:00,12:23:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Biberach (Riß),Tiengen (Hochrhein) Bahnhof,124.71989843888687,1.9800531076157681
Biberach (Riß),Waldshut Bahnhof,Train Longue Distance,48.1019531,9.7929571,47.6215161,8.2193782,09:41:00,12:28:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Biberach (Riß),Waldshut Bahnhof,128.9744224828118,2.04759793133712
Biberach Süd,Bad Säckingen Bahnhof,Train Longue Distance,48.0869954,9.8032518,47.5559371,7.9487877,17:42:00,20:48:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Biberach Süd,Bad Säckingen Bahnhof,150.51775081417196,2.389619811925794
Biberach Süd,Badischer Bahnhof,Train Longue Distance,48.0869954,9.8032518,47.5677212,7.6082453,17:42:00,21:12:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Biberach Süd,Badischer Bahnhof,173.73075011803837,2.7581493888739774
Biberach Süd,Erzingen (Baden) Bahnhof,Train Longue Distance,48.0869954,9.8032518,47.6601803,8.430635,17:42:00,20:13:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Biberach Süd,Erzingen (Baden) Bahnhof,112.84144032805317,1.791470706648172
Biberach Süd,Rheinfelden (Baden) Bahnhof,Train Longue Distance,48.0869954,9.8032518,47.5569071,7.784378,17:42:00,20:59:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Biberach Süd,Rheinfelden (Baden) Bahnhof,161.83859727396987,2.5693495703215454
Biberach Süd,Tiengen (Hochrhein) Bahnhof,Train Longue Distance,48.0869954,9.8032518,47.635513,8.2723429,17:42:00,20:23:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Biberach Süd,Tiengen (Hochrhein) Bahnhof,124.7551768822576,1.9806131881827216
Biberach Süd,Waldshut Bahnhof,Train Longue Distance,48.0869954,9.8032518,47.6215161,8.2193782,17:42:00,20:28:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Biberach Süd,Waldshut Bahnhof,129.01320728621693,2.04821367887598
Blaubeuren,Donaueschingen Bahnhof,Train Longue Distance,48.4038201,9.7919599,47.947842,8.4989429,08:29:00,10:35:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Blaubeuren,Donaueschingen Bahnhof,108.45611309388235,1.7218492514784762
Blaubeuren,Geisingen Bahnhof,Train Longue Distance,48.4038201,9.7919599,47.9214569,8.6523841,08:29:00,10:25:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Blaubeuren,Geisingen Bahnhof,100.10180726261356,1.589216292101253
Blaubeuren,Villingen Bahnhof/ZOB,Train Longue Distance,48.4038201,9.7919599,48.0574872,8.4655974,17:29:00,19:45:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Blaubeuren,Villingen Bahnhof/ZOB,105.52094275011439,1.6752504871008158
