station_lat,station_long,airport_name,aero_lat,aero_long,iata_code,country_code,station_airport_km,station_name
46.6902585,-1.0542092,Mouchamps Airfield,46.808611,-1.030556,,FR,13.28301417113712,Gare de Chantonnay
48.4482028,1.4813126,Chartres-Métropole Airfield,48.457502,1.519843,,FR,3.0238488905735035,Gare de Chartres
49.6335183,-1.6214867,Cherbourg Manche airport,49.650101,-1.47028,CER,FR,11.042797834677666,Gare de Cherbourg
47.6833356,0.4149592,Saint-Pierre-de-Chevillé Airfield,47.633333,0.452222,,FR,6.221142796835181,Gare de Château-du-Loir
48.1063608,-1.4051588,La Baillée sous Champ Fleu Airfield,48.1875,-1.496389,,FR,11.278930511954318,Gare de Châteaubourg
47.3451747,0.4581184,Hommes Volants Ultralight Airfield,47.418534,0.323495,,FR,13.010644302407034,Gare de Cinq-Mars-la-Pile
47.0860158,-1.2862919,Aérodrome de l'Emonière,47.05997,-1.35325,,FR,5.839594111283119,Gare de Clisson
49.5991119,1.1061752,Pavilly Airfield,49.601111,0.9875,,FR,8.55550999099645,Gare de Clères
48.962359,0.9378896,Évreux-Fauville (BA 105) Air Base,49.028702,1.21986,EVX,FR,21.85439787355195,Gare de Conches
48.383367,0.8488811,Champrond Le Petit Bois Landry Ultralight Airfield,48.39361,1.05753,,FR,15.449074852393936,Gare de Condé-sur-Huisne
48.1272219,-0.0116197,Assé le Riboul Airfield,48.195278,0.099444,,FR,11.186010554742007,Gare de Conlie
48.0737072,0.4869016,Champ-Romet Airfield,48.298611,0.453056,,FR,25.133720683356117,Gare de Connerré - Beillé
49.9116341,2.4999483,Amiens Glisy Airfield,49.873004,2.387074,,FR,9.155862949458804,Gare de Corbie
48.4513371,1.2349025,Loulappe Airfield,48.438333,1.274444,,FR,3.255359116525524,Gare de Courville-sur-Eure
49.042928,-1.4417261,Lessay Airfield,49.202276,-1.507983,,FR,18.362987705765757,Gare de Coutances
49.9217887,1.0811328,Dieppe-Saint-Aubin Airport,49.884662,1.08101,DPE,FR,4.128310051018109,Gare de Dieppe
48.5442508,-1.7505361,Le Haut des Places Airfield,48.474167,-1.591111,,FR,14.09463892123659,Gare de Dol-de-Bretagne
50.3716757,3.0899613,Vitry-en-Artois Airfield,50.337883,2.990714,,FR,7.981085665035849,Gare de Douai
48.731493,1.3701634,Dreux Vernouillet Airfield,48.70543,1.361155,,FR,2.9724708589120756,Gare de Dreux
48.7447856,-0.5732157,Aérodrome de Flers Saint-Paul,48.749964,-0.593927,,FR,1.624051908237428,Gare de Flers
48.8299473,-1.407223,Granville Airport,48.883099,-1.56417,GFR,FR,12.914082731186156,Gare de Folligny
46.6653633,-1.2321027,La Roche-sur-Yon Les Ajoncs Airport,46.7019,-1.37863,EDM,FR,11.892926398738734,Gare de Fougeré
49.1411537,-0.26041,Rouvres Airfield,49.02,-0.198333,,FR,14.210116367656315,Gare de Frénouville - Cagny
48.625821,1.7718286,La Fontaine au Berger Airfield,48.582222,1.728889,,FR,5.785453477353088,Gare de Gazeran
48.8383212,-1.5875472,Granville Airport,48.883099,-1.56417,GFR,FR,5.264566673001696,Gare de Granville
48.555661,-3.143343,Kerfot Ultralight Airfield,48.723882,-3.027055,,FR,20.564444624452847,Gare de Guingamp
47.7991298,-3.2857957,Lorient South Brittany (Bretagne Sud) Airport,47.760601,-3.44,LRT,FR,12.292976333539224,Gare de Hennebont
47.4059297,-0.9208318,Saint Sigismond ULM,47.439444,-0.935833,,FR,3.893763472359694,Gare de Ingrandes
48.5102492,1.5574626,Bailleau Armenonville Airfield,48.5158,1.64,,FR,6.111041434847216,Gare de Jouy
48.7662297,0.620014,L'Aigle-Saint-Michel Airfield,48.758502,0.656632,,FR,2.8182146052012707,Gare de L'Aigle
47.2834533,-2.3648905,La Baule-Escoublac Airport,47.289398,-2.34639,LBY,FR,1.5440878153552908,Gare de La Baule les Pins
47.2884613,-2.389211,La Baule-Escoublac Airport,47.289398,-2.34639,LBY,FR,3.2313973756340433,Gare de La Baule-Escoublac
48.9884629,1.0350725,Évreux-Fauville (BA 105) Air Base,49.028702,1.21986,EVX,FR,14.201289308842494,Gare de La Bonneville-sur-Iton
46.6768448,-1.2835958,La Roche-sur-Yon Les Ajoncs Airport,46.7019,-1.37863,EDM,FR,7.765651297319542,Gare de La Chaize-le-Vicomte
47.2512247,0.2184879,Hommes Volants Ultralight Airfield,47.418534,0.323495,,FR,20.216932864801432,Gare de La Chapelle-sur-Loire
48.1865289,0.6393795,BELLEME St Germain de la Coudr Airfield,48.300556,0.581111,,FR,13.393331541383962,Gare de La Ferté-Bernard
48.1139412,0.1931078,Assé le Riboul Airfield,48.195278,0.099444,,FR,11.40497864073626,Gare de La Guierche
48.3032566,0.1054466,Piacé Airfield,48.271111,0.103889,,FR,3.576284987480607,Gare de La Hutte Coulombiers
48.4738284,1.010898,Fontaine Simon Airfield,48.506027,0.991064,,FR,3.8671883356418904,Gare de La Loupe
47.4313396,0.6407405,Tours Val de Loire Airport,47.432201,0.727606,TUF,FR,6.53470517686475,Gare de La Membrolle-sur-Choisille
46.6720757,-1.4356603,La Roche-sur-Yon Les Ajoncs Airport,46.7019,-1.37863,EDM,FR,5.470076064273311,Gare de La Roche-sur-Yon
46.1527022,-1.1458576,La Rochelle Île de Ré Airport,46.179199,-1.19528,LRH,FR,4.8131803011462475,Gare de La Rochelle
47.8922362,0.0265714,Le Mans-Arnage Airport,47.948604,0.201702,LME,FR,14.477592947941126,Gare de La Suze
48.4827531,1.522905,Chartres-Métropole Airfield,48.457502,1.519843,,FR,2.8168541589383995,Gare de La Villette Saint-Prest
48.4660608,-2.5115459,Saint-Brieuc-Armor Airport,48.538628,-2.853518,SBK,FR,26.455885438390432,Gare de Lamballe
48.4535734,-4.256528,Landivisiau Air Base,48.5303,-4.15164,LDV,FR,11.512234516346782,Gare de Landerneau
48.4960033,-4.082181,Landivisiau Air Base,48.5303,-4.15164,LDV,FR,6.381327402547934,Gare de Landivisiau
47.3240248,0.4097404,Hommes Volants Ultralight Airfield,47.418534,0.323495,,FR,12.3539645422679,Gare de Langeais
48.0762555,-0.7609291,Laval-Entrammes Airport,48.032208,-0.743999,LVA,FR,5.0569200510784365,Gare de Laval
47.2898903,-2.5073397,La Baule-Escoublac Airport,47.289398,-2.34639,LBY,FR,12.139379579456278,Gare de Le Croisic
49.4926229,0.1246437,Le Havre-Octeville Airport,49.534038,0.088406,LEH,FR,5.296406464295509,Gare de Le Havre
47.9956159,0.1926141,Le Mans-Arnage Airport,47.948604,0.201702,LME,FR,5.271081915157753,Gare de Le Mans
49.2493264,-0.8809742,Mosles Airfield,49.30083,-0.81183,,FR,7.613140897055459,Gare de Le Molay-Littry
47.2825083,-2.4331287,La Baule-Escoublac Airport,47.289398,-2.34639,LBY,FR,6.5872224062258775,Gare de Le Pouliguen
48.2672914,0.6943758,BELLEME St Germain de la Coudr Airfield,48.300556,0.581111,,FR,9.160805805107245,Gare de Le Theil - La Rouge
47.5736883,-0.4830019,Soulaire Airfield,47.565556,-0.549722,,FR,5.086535212810037,Gare de Le Vieux Briollay
47.3618603,-0.2193729,Coutures Airfield,47.366111,-0.330556,,FR,8.387261820302458,Gare de Les Rosiers-sur-Loire
50.6365763,3.0698721,Marcq-en-Baroeul Airfield,50.687199,3.07556,,FR,5.643246739249198,Gare de Lille Flandres
49.1382984,0.2311429,La Boissière Airfield,49.124774,0.142758,,FR,6.604171731977056,Gare de Lisieux
49.2268337,-1.0503391,Mosles Airfield,49.30083,-0.81183,,FR,19.16329064211168,Gare de Lison
