station_name,city,lat,lon,country_code,annual_station_traffic,city_population
Gare de Granville,Gare de Granville,48.8383212,-1.5875472,,375919.0,12510.0
Gare de Guingamp,Gare de Guingamp,48.555661,-3.143343,,1070109.0,7111.0
Gare de Hennebont,Gare de Hennebont,47.7991298,-3.2857957,,192338.0,15910.0
Gare de Ingrandes,Gare de Ingrandes,47.4059297,-0.9208318,,,1709.0
Gare de Jouy,Gare de Jouy,48.5102492,1.5574626,,124677.0,1988.0
Gare de L'Aigle,Gare de L'Aigle,48.7662297,0.620014,,213643.0,7663.0
Gare de La Baule les Pins,Gare de La Baule les Pins,47.2834533,-2.3648905,,27557.0,75580.0
Gare de La Baule-Escoublac,Gare de La Baule-Escoublac,47.2884613,-2.389211,,27557.0,16912.0
Gare de La Bonneville-sur-Iton,Gare de La Bonneville-sur-Iton,48.9884629,1.0350725,,6880.0,2044.0
Gare de La Chaize-le-Vicomte,Gare de La Chaize-le-Vicomte,46.6768448,-1.2835958,,1378.0,3948.0
Gare de La Chapelle-sur-Loire,Gare de La Chapelle-sur-Loire,47.2512247,0.2184879,,3371.0,1468.0
Gare de La Ferté-Bernard,Gare de La Ferté-Bernard,48.1865289,0.6393795,,297050.0,8740.0
Gare de La Guierche,Gare de La Guierche,48.1139412,0.1931078,,29815.0,1300.0
Gare de La Hutte Coulombiers,Gare de La Hutte Coulombiers,48.3032566,0.1054466,,29337.0,75580.0
Gare de La Loupe,Gare de La Loupe,48.4738284,1.010898,,582162.0,3191.0
Gare de La Membrolle-sur-Choisille,Gare de La Membrolle-sur-Choisille,47.4313396,0.6407405,,1467.0,3290.0
Gare de La Roche-sur-Yon,Gare de La Roche-sur-Yon,46.6720757,-1.4356603,,1218501.0,54849.0
Gare de La Rochelle,Gare de La Rochelle,46.1527022,-1.1458576,,3137015.0,79851.0
Gare de La Suze,Gare de La Suze,47.8922362,0.0265714,,,75580.0
Gare de La Villette Saint-Prest,Gare de La Villette Saint-Prest,48.4827531,1.522905,,109176.0,217.0
Gare de Lamballe,Gare de Lamballe,48.4660608,-2.5115459,,711369.0,75580.0
Gare de Landerneau,Gare de Landerneau,48.4535734,-4.256528,,6837.0,16363.0
Gare de Landivisiau,Gare de Landivisiau,48.4960033,-4.082181,,253305.0,9426.0
Gare de Langeais,Gare de Langeais,47.3240248,0.4097404,,307322.0,4367.0
Gare de Laval,Gare de Laval,48.0762555,-0.7609291,,1700505.0,49400.0
Gare de Le Croisic,Gare de Le Croisic,47.2898903,-2.5073397,,152113.0,4056.0
Gare de Le Havre,Gare de Le Havre,49.4926229,0.1246437,,2070670.0,166687.0
Gare de Le Mans,Gare de Le Mans,47.9956159,0.1926141,,5440432.0,146249.0
Gare de Le Molay-Littry,Gare de Le Molay-Littry,49.2493264,-0.8809742,,56169.0,3124.0
Gare de Le Pouliguen,Gare de Le Pouliguen,47.2825083,-2.4331287,,125948.0,4173.0
Gare de Le Theil - La Rouge,Gare de Le Theil - La Rouge,48.2672914,0.6943758,,21145.0,387.0
Gare de Le Vieux Briollay,Gare de Le Vieux Briollay,47.5736883,-0.4830019,,29188.0,75580.0
Gare de Les Rosiers-sur-Loire,Gare de Les Rosiers-sur-Loire,47.3618603,-0.2193729,,76365.0,75580.0
Gare de Lille Flandres,Gare de Lille Flandres,50.6365763,3.0698721,,25331979.0,238246.0
Gare de Lisieux,Gare de Lisieux,49.1382984,0.2311429,,1232672.0,19645.0
Gare de Lison,Gare de Lison,49.2268337,-1.0503391,,211039.0,451.0
Gare de Longuerue - Vieux-Manoir,Gare de Longuerue - Vieux-Manoir,49.5566792,1.2762275,,19440.0,346.0
Gare de Lorient,Gare de Lorient,47.7555982,-3.3662209,,,58329.0
Gare de Maintenon,Gare de Maintenon,48.5854799,1.5920603,,1327025.0,4494.0
Gare de Mantes-la-Jolie,Gare de Mantes-la-Jolie,48.9898402,1.70337,,9911587.0,43526.0
Gare de Mer,Gare de Mer,47.7058923,1.5063578,,336887.0,6250.0
Gare de Meung-sur-Loire,Gare de Meung-sur-Loire,47.8299537,1.6919208,,466159.0,6670.0
Gare de Montauban-de-Bretagne,Gare de Montauban-de-Bretagne,48.1902428,-2.052675,,354751.0,6597.0
Gare de Montbizot,Gare de Montbizot,48.1513199,0.1908174,,47015.0,1841.0
Gare de Montfort-le-Gesnois,Gare de Montfort-le-Gesnois,48.0405728,0.4062319,,19174.0,2939.0
Gare de Montfort-sur-Meu,Gare de Montfort-sur-Meu,48.1388793,-1.9491409,,636464.0,6810.0
Gare de Montlouis,Gare de Montlouis,47.3915629,0.8174732,,,111.0
Gare de Montreuil-Bellay,Gare de Montreuil-Bellay,47.1254197,-0.1482834,,2207745.0,3746.0
Gare de Montville,Gare de Montville,49.5512834,1.0700462,,147206.0,4625.0
Gare de Montérolier - Buchy,Gare de Montérolier - Buchy,49.6031673,1.334721,,32330.0,591.0
Gare de Morannes,Gare de Morannes,47.7390037,-0.4181549,,38346.0,75580.0
Gare de Morgny,Gare de Morgny,49.5228742,1.2473588,,,650.0
Gare de Morlaix,Gare de Morlaix,48.5779705,-3.832514,,850223.0,15194.0
Gare de Mézidon - Canon,Gare de Mézidon - Canon,49.070913,-0.0749139,,,75580.0
Gare de Nantes,Gare de Nantes,47.2174913,-1.542077,,17553626.0,327734.0
Gare de Neuillé-Pont-Pierre,Gare de Neuillé-Pont-Pierre,47.5578523,0.5647897,,28711.0,2252.0
Gare de Neuville,Gare de Neuville,48.0704854,0.1996015,,28711.0,373.0
Gare de Nogent-le-Rotrou,Gare de Nogent-le-Rotrou,48.3257654,0.810313,,636642.0,9292.0
Gare de Nonancourt,Gare de Nonancourt,48.7757617,1.1928376,,11803.0,2321.0
Gare de Noyal - Acigné,Gare de Noyal - Acigné,48.1187915,-1.5277647,,332259.0,985.0
Gare de Noyen,Gare de Noyen,47.874387,-0.0982489,,,75580.0
Gare de Oissel,Gare de Oissel,49.3430833,1.1019373,,431176.0,75580.0
Gare de Onzain - Chaumont-sur-Loire,Gare de Onzain - Chaumont-sur-Loire,47.4920275,1.1860922,,278696.0,75580.0
Gare de Orléans,Gare de Orléans,47.907891,1.9042468,,5221422.0,116357.0
Gare de Paris Montparnasse Hall 1 - 2,Gare de Paris Montparnasse Hall 1 - 2,48.8411711,2.3205138,,68925312.0,2103778.0
Gare de Paris Montparnasse Vaugirard,Gare de Paris Montparnasse Vaugirard,48.8411711,2.3205138,,68925312.0,2103778.0
Gare de Paris Saint-Lazare,Gare de Paris Saint-Lazare,48.8762428,2.3253309,,114093491.0,2103778.0
Gare de Plestan,Gare de Plestan,48.4257122,-2.4424838,,14569.0,1635.0
Gare de Plouaret Trégor,Gare de Plouaret Trégor,48.606423,-3.4669791,,197837.0,2237.0
Gare de Plénée-Jugon,Gare de Plénée-Jugon,48.3766559,-2.3546105,,20761.0,2579.0
Gare de Poix-de-Picardie,Gare de Poix-de-Picardie,49.7777843,1.9898979,,89813.0,2282.0
Gare de Pont-l'Évêque,Gare de Pont-l'Évêque,49.2870445,0.1919739,,164885.0,5145.0
Gare de Pontchaillou,Gare de Pontchaillou,48.1186426,-1.6911174,,405981.0,75580.0
Gare de Pontchâteau,Gare de Pontchâteau,47.4353376,-2.0885275,,217942.0,11474.0
Gare de Pontorson - Mont-Saint-Michel,Gare de Pontorson - Mont-Saint-Michel,48.5527292,-1.5049304,,78308.0,4280.0
Gare de Pornichet,Gare de Pornichet,47.2704262,-2.3448644,,230185.0,12800.0
Gare de Port Boulet,Gare de Port Boulet,47.2488391,0.1556491,,166392.0,832.0
Gare de Pouzauges,Gare de Pouzauges,46.7524179,-0.8145972,,2187.0,5668.0
Gare de Questembert,Gare de Questembert,47.6830213,-2.4496212,,350119.0,8133.0
Gare de Quimper,Gare de Quimper,47.9944564,-4.092103,,1753601.0,64385.0
Gare de Quimperlé,Gare de Quimperlé,47.8693755,-3.552693,,503306.0,12469.0
Gare de Quédillac,Gare de Quédillac,48.2484813,-2.1452205,,33144.0,1287.0
Gare de Rambouillet,Gare de Rambouillet,48.6437724,1.83154,,5579876.0,27724.0
Gare de Redon,Gare de Redon,47.6520047,-2.08777,,1104562.0,9542.0
Gare de Rennes,Gare de Rennes,48.1035178,-1.6727439,,15689647.0,230890.0
Gare de Romilly-la-Puthenaye,Gare de Romilly-la-Puthenaye,49.0039198,0.854862,,9003.0,336.0
Gare de Rosporden,Gare de Rosporden,47.9602252,-3.8327024,,302899.0,7550.0
Gare de Rouen Rive Droite,Gare de Rouen Rive Droite,49.4486637,1.0941026,,7773267.0,117662.0
Gare de Sablé-sur-Sarthe,Gare de Sablé-sur-Sarthe,47.8417564,-0.3419969,,662172.0,12326.0
Gare de Saint-Antoine-du-Rocher,Gare de Saint-Antoine-du-Rocher,47.5036124,0.6163317,,73217.0,1824.0
Gare de Saint-Brieuc,Gare de Saint-Brieuc,48.5075822,-2.765,,28711.0,44364.0
Gare de Saint-Genouph,Gare de Saint-Genouph,47.3710642,0.5969105,,986.0,1019.0
Gare de Saint-Lô,Gare de Saint-Lô,49.1169738,-1.0995247,,299972.0,19471.0
Gare de Saint-Mars-la-Brière,Gare de Saint-Mars-la-Brière,48.0285279,0.3657048,,6668.0,2681.0
Gare de Saint-Nazaire,Gare de Saint-Nazaire,47.2864903,-2.211079,,1371500.0,74568.0
Gare de Saint-Patrice,Gare de Saint-Patrice,47.2856616,0.3096418,,18215.0,75580.0
Gare de Saint-Piat,Gare de Saint-Piat,48.5429525,1.5904886,,186401.0,1120.0
Gare de Saint-Pierre-des-Corps,Gare de Saint-Pierre-des-Corps,47.3861437,0.7235445,,4356356.0,15898.0
Gare de Saint-Pierre-sur-Dives,Gare de Saint-Pierre-sur-Dives,49.0231056,-0.0405856,,75554.0,85038.0
Gare de Sainte-Gauburge,Gare de Sainte-Gauburge,48.7172834,0.4281636,,1370.0,75580.0
Gare de Saumur,Gare de Saumur,47.2689958,-0.0714032,,966833.0,26241.0
Gare de Savenay,Gare de Savenay,47.3586008,-1.951011,,38477.0,9543.0
Gare de Savonnières,Gare de Savonnières,47.3605776,0.5441793,,2080.0,3392.0
Gare de Sceaux - Boëssé,Gare de Sceaux - Boëssé,48.1222299,0.5722332,,7637.0,20884.0
Gare de Serqueux,Gare de Serqueux,49.6315502,1.5394027,,80617.0,943.0
Gare de Serquigny,Gare de Serquigny,49.107754,0.7192894,,440344.0,1754.0
Gare de Servon,Gare de Servon,48.1122139,-1.4652101,,,3565.0
Gare de Sillé-le-Guillaume,Gare de Sillé-le-Guillaume,48.1817965,-0.1288914,,115577.0,2195.0
Gare de Surdon,Gare de Surdon,48.6647706,0.1344098,,92366.0,75580.0
Gare de Sées,Gare de Sées,48.5999675,0.1664085,,103413.0,4168.0
Gare de Teillé,Gare de Teillé,48.1813392,0.1914474,,5316.0,1824.0
Gare de Tiercé,Gare de Tiercé,47.6175243,-0.4694093,,120085.0,4589.0
Gare de Tours,Gare de Tours,47.3898771,0.6928408,,7013155.0,139259.0
Gare de Trouville - Deauville,Gare de Trouville - Deauville,49.3600056,0.0841671,,904015.0,75580.0
Gare de Valognes,Gare de Valognes,49.5054544,-1.4798601,,282866.0,6969.0
Gare de Vannes,Gare de Vannes,47.6651702,-2.75245,,2313942.0,55790.0
Gare de Varades - Saint-Florent-le-Vieil,Gare de Varades - Saint-Florent-le-Vieil,47.3745616,-1.01982,,123919.0,75580.0
Gare de Verneuil-sur-Avre,Gare de Verneuil-sur-Avre,48.7424865,0.9291927,,28711.0,836.0
Gare de Vernon - Giverny,Gare de Vernon - Giverny,49.0915726,1.4782972,,2046451.0,25290.0
Gare de Versailles Chantiers,Gare de Versailles Chantiers,48.795829,2.1358823,,24372929.0,84095.0
Gare de Villedieu-les-Poêles,Gare de Villedieu-les-Poêles,48.8341501,-1.2254182,,89813.0,535.0
Gare de Vire,Gare de Vire,48.8463297,-0.8828841,,100571.0,1225.0
Gare de Vitré,Gare de Vitré,48.1226727,-1.2117541,,1197732.0,19365.0
Gare de Vivoin - Beaumont,Gare de Vivoin - Beaumont,48.2301948,0.1448486,,45002.0,892.0
Gare de Voivres,Gare de Voivres,47.9305033,0.0852852,,,75580.0
Gare de Yffiniac,Gare de Yffiniac,48.4700837,-2.6524471,,29992.0,5074.0
Gare de Yvetot,Gare de Yvetot,49.6221158,0.7501387,,1115168.0,11438.0
Gare de Écommoy,Gare de Écommoy,47.8245481,0.2690699,,90899.0,4868.0
Gare de Épernon,Gare de Épernon,48.6052007,1.681363,,1574579.0,5715.0
Gare de Étriché - Châteauneuf,Gare de Étriché - Châteauneuf,47.6567338,-0.460868,,28711.0,1600.0
Gare de Évreux Normandie,Gare de Évreux Normandie,49.0187469,1.1496289,,89813.0,49360.0
Gdynia Gł.,Gdynia Gł.,54.52084,18.52956,,,257000.0
Geisingen Bahnhof,Geisingen Bahnhof,47.9214268,8.6523841,,,
Geislingen (Steige) Gleis 2,Geislingen (Steige) Gleis 2,48.6192303,9.8417176,,,
Geislingen (Steige) Gleis 3,Geislingen (Steige) Gleis 3,48.6192481,9.8418793,,,
Geltendorf,Geltendorf,48.1060563,11.03804,,,
Gerlenhofen,Gerlenhofen,48.3518617,10.0371012,,,
Giengen (Brenz),Giengen (Brenz),48.619741,10.2380274,,169298.0,
Gingen (F) Gleis 2,Gingen (F) Gleis 2,48.6607998,9.7880702,,,
Glasgow Central,Glasgow Central,55.85858,-4.25838,,,626410.0
Graz Hbf,Graz Hbf,47.0723,15.41644,,,303270.0
Grenzach Bahnhof Bstg 2,Grenzach Bahnhof Bstg 2,47.5509596,7.6593864,,,
Göppingen Gleis 4,Göppingen Gleis 4,48.700094,9.6520653,,,58040.0
Göppingen Gleis 6,Göppingen Gleis 6,48.699928,9.6519395,,,58040.0
Günzburg,Günzburg,48.4605212,10.27926,,,19737.0
Hamburg Altona,Hamburg Altona,53.55225,9.93496,,203396.0,1973896.0
Hamburg Hbf,Hamburg Hbf,53.5527529,10.0079239,,203396.0,1973896.0
Heidenheim (Brenz),Heidenheim (Brenz),48.6803766,10.1565142,,,
Heimenkirch,Heimenkirch,47.628957,9.9018688,,,
Hel,Hel,54.61104,18.80089,,420572.0,
Helsinki / Helsingfors,Helsinki / Helsingfors,,,,865.0,658864.0
Hergatz,Hergatz,47.6466438,9.827147,,,
Herrlingen,Herrlingen,48.4176719,9.8974491,,503.0,
Herten (Baden) Bahnhof,Herten (Baden) Bahnhof,47.549365,7.7389322,,,65306.0
Humenné,Humenné,48.93017,21.90117,,,30450.0
Iași,Iași,47.15723,27.60345,,,378954.0
Immendingen Bahnhof,Immendingen Bahnhof,47.9362701,8.7294236,,14285.0,
Immendingen Zimmern,Immendingen Zimmern,47.9326951,8.7131192,,336887.0,
Immenstadt,Immenstadt,47.5589318,10.214222,,,
Ingolstadt Hbf,Ingolstadt Hbf,48.7446121,11.4373322,,,120658.0
Ingolstadt Nord,Ingolstadt Nord,48.7741565,11.4319153,,,120658.0
Inningen,Inningen,48.311699,10.8691118,,,
Innsbruck Hbf,Innsbruck Hbf,47.26337,11.40111,,,132493.0
Inverness / Inbhir Nis,Inverness / Inbhir Nis,,,,,47790.0
Ivano-Frankivsk,Ivano-Frankivsk,,,,,
Kamianets-Podilskyi,Kamianets-Podilskyi,,,,,
Karlsruhe Hauptbahnhof,Karlsruhe Hauptbahnhof,48.993367,8.401278,,,283799.0
Kars,Kars,40.60528,43.10639,,,91450.0
Kaufering,Kaufering,48.0812403,10.8550801,,,
Kemijärvi,Kemijärvi,66.72411,27.40363,,,
Kempten (Allgäu) Hbf,Kempten (Allgäu) Hbf,47.7117827,10.317699,,,61399.0
Kempten (Allgäu) Hbf Bstg SEV,Kempten (Allgäu) Hbf Bstg SEV,47.7117585,10.3162706,,,61399.0
Kharkiv,Kharkiv,,,,,
Kißlegg Bahnhof,Kißlegg Bahnhof,47.7936563,9.8820699,,,
Kolari,Kolari,67.34896,23.83575,,,
Konya,Konya,37.86534,32.4759,,,1433861.0
Koper,Koper,45.53913,13.73831,,,25753.0
Kovel,Kovel,,,,,
Kołobrzeg,Kołobrzeg,54.18238,15.57209,,,44377.0
Kraków Gł.,Kraków Gł.,50.06719,19.94742,,,804237.0
