origin,destination,vehicule_type,co2_train_kg,co2_avion_kg,co2_saved_kg,is_substitutable,distance_km,station_lat,station_long,station_lat_dest,station_long_dest,origin_city,destination_city,trip_count_corridor,trip_count_origin,service_share,origin_station_traffic,origin_city_population,dest_station_traffic,dest_city_population
Augsburg Hbf,Heimenkirch,Train Longue Distance Nuit,1.7429390540098508,67.53796526524285,65.795026211233,1,109.78452091268902,48.3650353,10.8854791,47.6288722,9.9022551,Augsburg Hbf,Heimenkirch,149.0,272.0,0.5477941176470589,,301105.0,,
Augsburg Hbf,Hergatz,Train Longue Distance Nuit,1.7806160573469447,81.7714281466976,79.99081208935065,1,112.15772596037696,48.3650353,10.8854791,47.6466862,9.82712,Augsburg Hbf,Hergatz,149.0,272.0,0.5477941176470589,,301105.0,,
Augsburg Hbf,Immenstadt,Train Longue Distance Nuit,1.629302466865178,69.60724480864609,67.9779423417809,1,102.62676158132894,48.3650353,10.8854791,47.5589318,10.214222,Augsburg Hbf,Immenstadt,149.0,272.0,0.5477941176470589,,301105.0,,
Augsburg Hbf,Karlsruhe Hauptbahnhof,Train Longue Distance,3.100571591020813,80.47574933177594,77.37517774075513,1,195.29929396704543,48.365656,10.8858385,48.993367,8.401278,Augsburg Hbf,Karlsruhe Hauptbahnhof,4.0,493.0,0.008113590263691683,,301105.0,,283799.0
Augsburg Hbf,Kufstein Bahnhof,EuroNight,2.048498896145976,83.82987781358618,81.78137891744021,1,129.03117259674832,48.3655187,10.8854791,47.5830959,12.1655874,Augsburg Hbf,Kufstein Bahnhof,13.0,493.0,0.02636916835699797,,301105.0,,
Augsburg Hbf,Lindau-Insel,Train Longue Distance Nuit,2.0308068258540017,81.7714281466976,79.7406213208436,1,127.91678167384742,48.3653218,10.885003,47.5451508,9.6804521,Augsburg Hbf,Lindau-Insel,54.0,272.0,0.19852941176470587,,301105.0,,24518.0
Augsburg Hbf,Lindau-Reutin,Train Longue Distance Nuit,2.0045625626428802,81.7714281466976,79.76686558405473,1,126.26370387017384,48.3650353,10.8854791,47.5523177,9.7012121,Augsburg Hbf,Lindau-Reutin,149.0,272.0,0.5477941176470589,,301105.0,28711.0,24518.0
Augsburg Hbf,Münster (Westf) Hauptbahnhof,EuroNight,7.326261481242924,97.11059140304894,89.78432992180602,1,461.4677173874354,48.3656739,10.8858924,51.9566277,7.6353295,Augsburg Hbf,Münster (Westf) Hauptbahnhof,19.0,493.0,0.038539553752535496,,301105.0,290061.0,4738.0
Augsburg Hbf,Nürnberg Hbf,EuroNight,1.9202482862084762,76.87927646789355,74.95902818168507,1,120.95290288539155,48.3656739,10.8858924,49.4457552,11.0821383,Augsburg Hbf,Nürnberg Hbf,48.0,493.0,0.0973630831643002,,301105.0,,
Augsburg Hbf,Oberstaufen,Train Longue Distance Nuit,1.7560368021640957,67.53796526524285,65.78192846307876,1,110.60952394583622,48.3650353,10.8854791,47.5539364,10.0255039,Augsburg Hbf,Oberstaufen,149.0,272.0,0.5477941176470589,,301105.0,,
Augsburg Hbf,Paris Gare de l'Est,Train Longue Distance,9.984448728140709,166.97673354979761,156.9922848216569,0,628.9020362900421,48.365656,10.8858385,48.8785739,2.3603054,Augsburg Hbf,Paris Gare de l'Est,4.0,493.0,0.008113590263691683,,301105.0,,2103778.0
Augsburg Hbf,Rosenheim,EuroNight,1.7155911898973186,74.6120813854986,72.89649019560127,1,108.06192932081876,48.3655187,10.8854791,47.8499013,12.1191804,Augsburg Hbf,Rosenheim,13.0,493.0,0.02636916835699797,,301105.0,,60167.0
Augsburg Hbf,Röthenbach (Allgäu),Train Longue Distance Nuit,1.7144193538834402,67.53796526524285,65.8235459113594,1,107.98811752856136,48.3650353,10.8854791,47.6205715,9.9535579,Augsburg Hbf,Röthenbach (Allgäu),149.0,272.0,0.5477941176470589,,301105.0,,
Augsburg Hbf,Strasbourg Gare Centrale,Train Longue Distance,3.7087862066492217,93.87710291992184,90.16831671327262,1,233.60961241176753,48.365656,10.8858385,48.5851086,7.7338837,Augsburg Hbf,Strasbourg Gare Centrale,4.0,493.0,0.008113590263691683,,301105.0,24568668.0,293771.0
Augsburg Hbf,Stuttgart Hauptbahnhof (oben) Gleis 1,Train Longue Distance,2.1234218697911564,86.32842274261672,84.20500087282556,1,133.75043271549237,48.365656,10.8858385,48.7856758,9.1822195,Augsburg Hbf,Stuttgart Hauptbahnhof (oben) Gleis 1,2.0,493.0,0.004056795131845842,,301105.0,,612663.0
Augsburg Messe Bstg 2,Heimenkirch,Train Longue Distance Nuit,1.709389887236203,67.53796526524285,65.82857537800665,1,107.67132068759153,48.3387921,10.8861169,47.6288722,9.9022551,Augsburg Messe Bstg 2,Heimenkirch,41.0,45.0,0.9111111111111111,,301105.0,,
Augsburg Messe Bstg 2,Hergatz,Train Longue Distance Nuit,1.7486930522856081,81.7714281466976,80.022735094412,1,110.146954666516,48.3387921,10.8861169,47.6466862,9.82712,Augsburg Messe Bstg 2,Hergatz,41.0,45.0,0.9111111111111111,,301105.0,,
Augsburg Messe Bstg 2,Immenstadt,Train Longue Distance Nuit,1.589478054513141,69.60724480864609,68.01776675413295,1,100.11829519483126,48.3387921,10.8861169,47.5589318,10.214222,Augsburg Messe Bstg 2,Immenstadt,41.0,45.0,0.9111111111111111,,301105.0,,
Augsburg Messe Bstg 2,Lindau-Insel,Train Longue Distance Nuit,1.9988889448110136,81.7714281466976,79.77253920188659,1,125.90633313246497,48.3387921,10.8861169,47.5451508,9.6804521,Augsburg Messe Bstg 2,Lindau-Insel,25.0,45.0,0.5555555555555556,,301105.0,,24518.0
Augsburg Messe Bstg 2,Lindau-Reutin,Train Longue Distance Nuit,1.97246056174206,81.7714281466976,79.79896758495555,1,124.24165795805366,48.3387921,10.8861169,47.5523177,9.7012121,Augsburg Messe Bstg 2,Lindau-Reutin,41.0,45.0,0.9111111111111111,,301105.0,28711.0,24518.0
Augsburg Messe Bstg 2,Oberstaufen,Train Longue Distance Nuit,1.7190712525018825,67.53796526524285,65.81889401274097,1,108.28113205479231,48.3387921,10.8861169,47.5539364,10.0255039,Augsburg Messe Bstg 2,Oberstaufen,41.0,45.0,0.9111111111111111,,301105.0,,
Augsburg Messe Bstg 2,Röthenbach (Allgäu),Train Longue Distance Nuit,1.6798487573464576,67.53796526524285,65.85811650789638,1,105.81057932391393,48.3387921,10.8861169,47.6205715,9.9535579,Augsburg Messe Bstg 2,Röthenbach (Allgäu),41.0,45.0,0.9111111111111111,,301105.0,,
Augsburg Morellstraße,Heimenkirch,Train Longue Distance Nuit,1.7358937589887276,67.53796526524285,65.80207150625412,1,109.34075075514787,48.3550375,10.893025,47.6288722,9.9022551,Augsburg Morellstraße,Heimenkirch,41.0,61.0,0.6721311475409836,,301105.0,,
Augsburg Morellstraße,Hergatz,Train Longue Distance Nuit,1.7744888751190897,81.7714281466976,79.99693927157851,1,111.77178603672775,48.3550375,10.893025,47.6466862,9.82712,Augsburg Morellstraße,Hergatz,41.0,61.0,0.6721311475409836,,301105.0,,
Augsburg Morellstraße,Immenstadt,Train Longue Distance Nuit,1.6183530566015785,69.60724480864609,67.98889175204451,1,101.93707839516114,48.3550375,10.893025,47.5589318,10.214222,Augsburg Morellstraße,Immenstadt,41.0,61.0,0.6721311475409836,,301105.0,,
Augsburg Morellstraße,Lindau-Insel,Train Longue Distance Nuit,2.0247087425376527,81.7714281466976,79.74671940415995,1,127.53267463704034,48.3550375,10.893025,47.5451508,9.6804521,Augsburg Morellstraße,Lindau-Insel,25.0,61.0,0.4098360655737705,,301105.0,,24518.0
