dep_name,arr_name,dep_city,arr_city,distance_km,is_long_distance
Chelm,Kharkiv,Chelm,Kharkiv,,
Chelm,Kyiv Pasazhyrskyi,Chelm,Kyiv Pasazhyrskyi,,
Chelm,Świnoujście,Chelm,Świnoujście,695.1090393829659,true
Cherkasy,Ivano-Frankivsk,Cherkasy,Ivano-Frankivsk,,
Chernihiv,Ivano-Frankivsk,Chernihiv,Ivano-Frankivsk,,
Chernivtsi,Dnipro Holovny,Chernivtsi,Dnipro Holovny,,
Chernivtsi,Kharkiv,Chernivtsi,Kharkiv,,
Chernivtsi,Kryvyi Rih,Chernivtsi,Kryvyi Rih,,
Chernivtsi,Kyiv Pasazhyrskyi,Chernivtsi,Kyiv Pasazhyrskyi,,
Chernivtsi,Odesa Holovna,Chernivtsi,Odesa Holovna,,
Chişinău,București Nord,Chişinău,București Nord,357.95964565572797,true
Chişinău,Kyiv Pasazhyrskyi,Chişinău,Kyiv Pasazhyrskyi,,
Chop,Kyiv Pasazhyrskyi,Chop,Kyiv Pasazhyrskyi,,
Chop,Lozova,Chop,Lozova,,
Chop,Praha hl.n.,Chop,Praha hl.n.,592.6851238033265,true
Cluj-Napoca,București Nord,Cluj-Napoca,București Nord,323.9890934914132,true
Cluj-Napoca,Iași,Cluj-Napoca,Iași,307.55640211776995,true
Constanța,Oradea,Constanța,Oradea,612.2290490739184,true
Constanța,Suceava Nord,Constanța,Suceava Nord,431.7553521686727,true
Dnipro Holovny,Chernivtsi,Dnipro Holovny,Chernivtsi,,
Dnipro Holovny,Kovel,Dnipro Holovny,Kovel,,
Dnipro Holovny,Lviv,Dnipro Holovny,Lviv,,
Dnipro Holovny,Odesa Holovna,Dnipro Holovny,Odesa Holovna,,
Dnipro Holovny,Truskavets,Dnipro Holovny,Truskavets,,
Dnipro Holovny,Uzhhorod,Dnipro Holovny,Uzhhorod,,
Dobrich,Sofia,Dobrich,Sofia,,
Donaueschingen Bahnhof,Allmendingen,Donaueschingen Bahnhof,Allmendingen,100.1246496072879,true
Donaueschingen Bahnhof,Blaubeuren,Donaueschingen Bahnhof,Blaubeuren,108.45642000521117,true
Donaueschingen Bahnhof,Blaustein,Donaueschingen Bahnhof,Blaustein,117.41964956453032,true
Donaueschingen Bahnhof,Herrlingen,Donaueschingen Bahnhof,Herrlingen,116.10056117368684,true
Donaueschingen Bahnhof,Schelklingen,Donaueschingen Bahnhof,Schelklingen,103.08292609536873,true
Donaueschingen Bahnhof,Ulm Hbf,Donaueschingen Bahnhof,Ulm Hbf,120.90965713213525,true
Donnersbergerbrücke,Kempten (Allgäu) Hbf Bstg SEV,Donnersbergerbrücke,Kempten (Allgäu) Hbf Bstg SEV,102.65690468664772,true
Dortmund Hbf,"Amsterdam, Centraal",Dortmund Hbf,"Amsterdam, Centraal",199.76218554310623,true
Dortmund Hbf,Freilassing,Dortmund Hbf,Freilassing,569.9139934274601,true
Dortmund Hbf,Ingolstadt Hbf,Dortmund Hbf,Ingolstadt Hbf,418.8005946698384,true
Dortmund Hbf,Kufstein Bahnhof,Dortmund Hbf,Kufstein Bahnhof,553.5722560609125,true
Dortmund Hbf,München Hbf Gleis 10,Dortmund Hbf,München Hbf Gleis 10,476.6595434361162,true
Dortmund Hbf,München Hbf Gleis 14,Dortmund Hbf,München Hbf Gleis 14,476.8024101885349,true
Dortmund Hbf,Nürnberg Hbf,Dortmund Hbf,Nürnberg Hbf,344.6016745305486,true
Dortmund Hbf,Ostbahnhof Gleis 8,Dortmund Hbf,Ostbahnhof Gleis 8,480.067583213921,true
Dortmund Hbf,Passau Hbf,Dortmund Hbf,Passau Hbf,538.4186932916906,true
Dortmund Hbf,Rosenheim,Dortmund Hbf,Rosenheim,527.746035693837,true
Duved,Malmö C,Duved,Malmö C,865.1546994025,true
Duved,Stockholm C,Duved,Stockholm C,527.6870120417353,true
Düsseldorf Hbf,Innsbruck Hbf,Düsseldorf Hbf,Innsbruck Hbf,552.5777240085893,true
Düsseldorf Hbf,Villach Hbf,Düsseldorf Hbf,Villach Hbf,725.8230618512234,true
Edinburgh Waverley,London Euston,Edinburgh Waverley,London Euston,531.3807187308821,true
Edirne,Villach Hbf,Edirne,Villach Hbf,1154.2618380191282,true
Enzisweiler,Esslingen (N) Gleis 3,Enzisweiler,Esslingen (N) Gleis 3,133.36963727464803,true
Enzisweiler,Geislingen (Steige) Gleis 2,Enzisweiler,Geislingen (Steige) Gleis 2,118.05185230399306,true
Enzisweiler,Göppingen Gleis 4,Enzisweiler,Göppingen Gleis 4,126.31685553899472,true
Enzisweiler,Plochingen Gleis 1,Enzisweiler,Plochingen Gleis 1,129.13429754673055,true
Enzisweiler,Stuttgart Hauptbahnhof (oben) Gleis 11,Enzisweiler,Stuttgart Hauptbahnhof (oben) Gleis 11,140.39085676118762,true
Enzisweiler,Stuttgart Hauptbahnhof (oben) Gleis 13,Enzisweiler,Stuttgart Hauptbahnhof (oben) Gleis 13,140.37627507189495,true
Eriskirch Bahnhof,Esslingen (N) Gleis 3,Eriskirch Bahnhof,Esslingen (N) Gleis 3,124.56873208110314,true
