route_id,agency_id,route_short_name,route_long_name,route_type
19-223-s24-1,1,223,"Sauerlach, Mühlweg - Sauerlach - Arget",701
19-224-s24-1,1,224,"Unterhaching, Schule am Sportpark - Unterhaching - Taufkirchen - Deisenhofen Ost - Oberhaching, Kugler Alm",701
19-225-s24-2,1,225,Taufkirchen - Gewerbegebiet Potzham,701
19-226-s24-1,1,226,Sauerlach - Altkirchen - Deisenhofen Ost,701
19-226-s24-2,1,226,Sauerlach - Altkirchen - Deisenhofen Ost,701
19-227-s24-3,1,227,Ortsbus Oberhaching,701
19-229-s24-1,1,229,"Ottobrunn, Phönix-Bad - Karl-Stieler-Str. - Neubiberg - Neuperlach Süd",701
19-230-s24-4,1,230,Haar - Feldkirchen - Ismaning - Garching - Forschungszentrum,701
19-230-V-s24-1,1,230V,"Garching, Untere Straßäcker - Ismaning",701
19-231-s24-1,1,231,Ismaning - Unterföhring - Studentenstadt,701
19-231-V-s24-1,1,231V,"Unterföhring, Siedlerstraße - Ismaning",701
19-232-s24-2,1,232,Ortsbus Unterföhring,701
19-233-s24-1,1,233,"Studentenstadt - Unterföhring, Gewerbegebiet - Unterföhring",701
19-234-s24-1,1,234,Messestadt West - Feldkirchen - Aschheim - Unterföhring,701
19-234-V-s24-2,1,234V,"Messestadt Ost - Feldkirchen - Aschheim, Realschule",701
19-236-s24-2,1,236,Fischerhäuser - Ismaning - Waldorfschule,701
19-236-s24-8,1,236,Fischerhäuser - Ismaning - Waldorfschule,701
19-240-s24-1,1,240,"Höhenkirchen-Sieg. - Harthausen - Grasbrunn - Neukeferloh, Bahnhofstr.",701
19-240-V-s24-2,1,240V,Harthausen - Grasbrunn - Neukeferloh - Vaterstetten / Haar,701
19-240-V-s24-5,1,240V,Harthausen - Grasbrunn - Neukeferloh - Vaterstetten / Haar,701
19-241-s24-9,1,241,"Haar - Ottobrunn - Taufkirchen - Taufkirchen, Friedhof",701
19-242-s24-1,1,242,Haar - Ottendichl -  Gronsdorf,701
19-242-V-s24-1,1,242V,Gronsdorf - Ottendichl -  Haar,701
19-243-s24-1,1,243,"Haar, Lise-Meitner-Weg - Haar - Neukeferloh, Ostring - Baldham, Realschule",701
19-244-s24-1,1,244,"Taufkirchen, Hugo-Junkers-Straße - Höhenkirchen-Sieg. - Brunnthal - Sauerlach",701
19-258-s24-1,1,258,"Lochham, Starnberger Str. - Lochham - Gräfelfing, Rathaus - Planegg - Gräfelfing",701
19-258-s24-6,1,258,"Lochham, Starnberger Str. - Lochham - Gräfelfing, Rathaus - Planegg - Gräfelfing",701
19-259-s24-2,1,259,"Pasing Bf - Gräfelfing, Am Haag - Martinsried",701
19-260-s24-1,1,260,Germering-Unterpfaffenhofen - Planegg - Fürstenried West,701
19-260-s24-2,1,260,Germering-Unterpfaffenhofen - Planegg - Fürstenried West,701
19-260-V-s24-2,1,260V,"Neuried, Hainbuchenring - Planegg Gymnasium",701
19-261-s24-2,1,261,"Neuried, Hainbuchenring - Fürstenried West",701
19-262-s24-2,1,262,Messestadt Ost - Feldkirchen - Kirchheim - Pliening - Neufinsing,701
19-263-s24-1,1,263,Messestadt West - Riem Dornach - Aschheim - Kirchheim - Heimstetten Nord - Feldkirchen,701
19-263-s24-9,1,263,Messestadt West - Riem Dornach - Aschheim - Kirchheim - Heimstetten Nord - Feldkirchen,701
19-263-V-s24-16,1,263V,"Messestadt Ost - Feldkirchen - Kirchheim - Aschheim, Realschule - Riem Dornach - Messestadt West",701
19-263-V-s24-2,1,263V,"Messestadt Ost - Feldkirchen - Kirchheim - Aschheim, Realschule - Riem Dornach - Messestadt West",701
19-264-s24-1,1,264,Messestadt West - Dornach Gewerbegebiet - Riem Dornach,701
