route_id,agency_id,agency_1,agency_2,agency_3,route_short_name,route_long_name,route_desc,route_type,version,is_active,origin_trip_0,destination_trip_0,distance,emissions,classes,countries,source,source_interrail,picture,emissions_relation
102,FS,FS,,,IC Notte 1958 = IC Notte 1959 (P),,IC Notte 1958: Palermo Centrale - Termini Imerese - Barcellona Castroreale - Messina Centrale - Salerno - Napoli Centrale  - Roma Termini // IC Notte 1959 (P): Roma Termini - Lamezia Terme Centrale - Messina Centrale - Barcellona Castroreale - Termini Imerese - Palermo Centrale,2,,Y,Palermo,Roma,867.0,17.7,"seat, couchette, sleeper",IT,https://www.trenitalia.com/en.html,,https://back-on-track.eu/wp-content/uploads/2025/03/800_CC-BY_back-on-track_eu_Trenitalia_IC_Notte_1964-1967.jpeg,
103,FS,FS,,,IC Notte 1955 (S) = IC Notte 1956,,IC Notte 1955 (S): Roma Termini - Napoli Centrale  - Salerno - Messina Centrale - Taormina Giardini - Catania Centrale - Siracusa // IC Notte 1956: Siracusa - Catania Centrale - Taormina Giardini - Messina Centrale - Lamezia Terme Centrale - Roma Termini,2,,Y,Roma,Siracusa,820.0,16.5,"seat, couchette, sleeper",IT,https://www.trenitalia.com/en.html,,https://back-on-track.eu/wp-content/uploads/2025/03/800_CC-BY_back-on-track_eu_Trenitalia_IC_Notte_1964-1967.jpeg,
104,FS,FS,,,IC Notte 1959 (S) = IC Notte 1960,,IC Notte 1959 (S): Roma Termini - Lamezia Terme Centrale - Messina Centrale - Taormina Giardini - Catania Centrale - Siracusa // IC Notte 1960: Siracusa - Catania Centrale - Taormina Giardini - Messina Centrale - Salerno - Napoli Centrale  - Roma Termini,2,,Y,Roma,Siracusa,820.0,16.5,"seat, couchette, sleeper",IT,https://www.trenitalia.com/en.html,,https://back-on-track.eu/wp-content/uploads/2025/03/800_CC-BY_back-on-track_eu_Trenitalia_IC_Notte_1964-1967.jpeg,
85,FS,FS,,,IC Notte 1962 = IC Notte 1963,,IC Notte 1962: Siracusa - Catania Centrale - Taormina Giardini - Messina Centrale - Lamezia Terme Centrale - Salerno - Firenze S. M. N. - Bologna Centrale - Milano Centrale // IC Notte 1963: Milano Centrale - Bologna Centrale - Firenze S. M. N. - Salerno - Lamezia Terme Centrale - Messina Centrale - Taormina Giardini - Catania Centrale - Siracusa,2,,Y,Siracusa,Milano,1380.0,29.3,"seat, couchette, sleeper",IT,https://www.trenitalia.com/en.html,,https://back-on-track.eu/wp-content/uploads/2025/03/800_CC-BY_back-on-track_eu_Trenitalia_IC_Notte_1964-1967.jpeg,
84,FS,FS,,,IC Notte 1964 = IC Notte 1967,,IC Notte 1964: Palermo Centrale - Termini Imerese - Barcellona Castroreale - Messina Centrale - Lamezia Terme Centrale - Salerno - Firenze S. M. N. - Bologna Centrale - Milano Centrale // IC Notte 1967: Milano Centrale - Bologna Centrale - Firenze S. M. N. - Salerno - Lamezia Terme Centrale - Messina Centrale - Barcellona Castroreale - Termini Imerese - Palermo Centrale,2,,Y,Palermo,Milano,1427.0,30.5,"seat, couchette, sleeper",IT,https://www.trenitalia.com/en.html,,https://back-on-track.eu/wp-content/uploads/2025/03/800_CC-BY_back-on-track_eu_Trenitalia_IC_Notte_1964-1967.jpeg,
86,FS,FS,,,IC Notte 752 = IC Notte 755,,IC Notte 752: Lecce - Brindisi - Bari Centrale - Foggia - Bologna Centrale - Milano Centrale // IC Notte 755: Milano Centrale - Bologna Centrale - Foggia - Bari Centrale - Brindisi - Lecce,2,,Y,Lecce,Milano,1032.0,20.8,"seat, couchette, sleeper",IT,https://www.trenitalia.com/en.html,,https://back-on-track.eu/wp-content/uploads/2025/03/800_CC-BY_back-on-track_eu_Trenitalia_IC_Notte.jpg,
97,FS,FS,,,IC Notte 754 = IC Notte 757,,IC Notte 754: Lecce - Brindisi - Bari Centrale - Foggia - Bologna Centrale - Torino Lingotto // IC Notte 757: Torino Lingotto - Bologna Centrale - Foggia - Bari Centrale - Brindisi - Lecce,2,,Y,Lecce,Torino,1147.0,23.0,"seat, couchette, sleeper",IT,https://www.trenitalia.com/en.html,,https://back-on-track.eu/wp-content/uploads/2025/03/800_CC-BY_back-on-track_eu_Trenitalia_IC_Notte.jpg,
76,FS,FS,,,IC Notte 758 = IC Notte 765,,IC Notte 758: Lecce - Brindisi - Taranto - Bari Centrale - Foggia - Bologna Centrale - Milano Centrale // IC Notte 765: Milano Centrale - Bologna Centrale - Foggia - Bari Centrale,2,,Y,Lecce,Milano,1092.0,22.1,"seat, couchette, sleeper",IT,https://www.trenitalia.com/en.html,,https://back-on-track.eu/wp-content/uploads/2025/03/800_CC-BY_back-on-track_eu_Trenitalia_IC_Notte.jpg,
106,FS,FS,,,IC Notte 763 = IC Notte 764,,IC Notte 763: Bolzano / Bozen - Verona Porta Nuova - Orvieto - Roma Termini // IC Notte 764: Roma Termini - Orvieto - Verona Porta Nuova - Bolzano / Bozen,2,,Y,Bolzano,Roma,631.0,12.5,"seat, couchette, sleeper",IT,https://www.trenitalia.com/en.html,,https://back-on-track.eu/wp-content/uploads/2025/03/800_CC-BY_back-on-track_eu_Trenitalia_IC_Notte.jpg,
105,FS,FS,,,IC Notte 770 = IC Notte 774,,IC Notte 770: Trieste Centrale - Udine - Venezia Santa Lucia - Bologna Centrale - Roma Termini // IC Notte 774: Roma Termini - Venezia Santa Lucia - Udine - Trieste Centrale,2,,Y,Trieste,Roma,711.0,15.3,"seat, couchette, sleeper",IT,https://www.trenitalia.com/en.html,,https://back-on-track.eu/wp-content/uploads/2025/03/800_CC-BY_back-on-track_eu_Trenitalia_IC_Notte.jpg,
