stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,wheelchair_boarding
147,147,Mairie des Angles,43.9540429856,4.7734941848,0,1
1589,1589,Cité SNCF,43.9347646017,4.830381603,0,
1590,1590,Cité SNCF,43.9350164812,4.8303802162,0,
29,29,Fourrière,43.9477394707,4.8238925795,0,
69,69,Fourrière,43.9478652693,4.8238980901,0,
1437,1437,Gare de Morières,43.9416651944,4.9079518021,0,
1438,1438,Gare de Morières,43.9417481197,4.9078684169,0,
1782,1782,Bramo Set,43.9649109206,4.7805981983,0,
1808,1808,Bardi,43.9798809282,4.906980266,0,
1433,1433,Gromelle,43.9663949657,4.9249136563,0,
1434,1434,Gromelle,43.9664465896,4.9242559426,0,
184,184,Le Lozet,43.965410317,4.7735712253,0,
867,867,Le Lozet,43.9655150828,4.7737127076,0,
1456,1456,Font d'Irac,43.9456732545,4.7785253298,0,
1457,1457,Font d'Irac,43.9456732545,4.7785253298,0,
1535,1535,Croix Verte,43.9547894398,4.8373124188,0,1
1536,1536,Croix Verte,43.9545060654,4.8367271893,0,1
1458,1458,Ceriseraie,43.9478604741,4.7812586434,0,
1459,1459,Ceriseraie,43.9478604741,4.7812586434,0,
1460,1460,Petit Nice,43.9491270623,4.782931622,0,
1461,1461,Petit Nice,43.9491270623,4.782931622,0,
2397,2397,Guillaume Puy,43.9503822468,4.8141105637,0,1
1471,1471,Racine,43.9503199258,4.8049820047,0,
2353,2353,Vernet,43.9475892897,4.8032324341,0,
112,112,Alain Fournier,43.955105931,4.7710122856,0,
146,146,Alain Fournier,43.9549629925,4.7709688043,0,
161,161,Belle Rive,43.956893427,4.7939246043,0,1
200,200,Belle Rive,43.9569436938,4.7936902041,0,1
1476,1476,Stade Gorlier,43.9461804596,4.8354020255,0,1
2262,2262,Stade Gorlier,43.9461490883,4.8352014577,0,1
1491,1491,Félons,43.9140842419,4.892817643,0,1
2239,2239,Félons,43.9143253799,4.8928907054,0,1
2307,2307,Clg Lou Vignarès,43.9737472817,4.9134036093,0,1
2330,2330,Clg Lou Vignarès,43.9735205833,4.9134805058,0,1
448,448,Dardene,43.9582901397,4.8148292194,0,
471,471,Dardene,43.9584092207,4.8147348033,0,
1498,1498,Petit Flory,43.9908852676,4.9133097922,0,
1501,1501,Petit Flory,43.9907086498,4.9135509588,0,
1499,1499,Confines,43.9840469753,4.911491866,0,
2096,2096,Confines,43.9844545723,4.9121332614,0,
2401,2401,Confines,43.9836657671,4.9139163021,0,1
1503,1503,Monod,43.9374472062,4.8082188887,0,
1504,1504,Monod,43.9374404237,4.8085173253,0,
1506,1506,Cannebières,43.9598056906,4.9413247384,0,
1507,1507,Cannebières,43.9595691808,4.9399316384,0,
2238,2238,Pont Bleu,43.9211404022,4.8888046545,0,1
2243,2243,Pont Bleu,43.9208867735,4.8888803669,0,1
1452,1452,La Diane,43.960056263,4.7241816009,0,1
1453,1453,La Diane,43.9597642654,4.7256012596,0,1
1518,1518,Valentin,43.9240879493,4.886236606,0,1
2241,2241,Valentin,43.9242639158,4.8860205005,0,1
1520,1520,Les Granges,43.9256877714,4.8824504778,0,1
2237,2237,Les Granges,43.9261161536,4.8825941287,0,1
1542,1542,Albert Lebrun,43.9488760627,4.8370893304,0,
2255,2255,Albert Lebrun,43.9484460607,4.8366222044,0,
209,209,Neuf Peyres,43.9418131777,4.8273799144,0,1
270,270,Neuf Peyres,43.9415593036,4.8274683643,0,1
1750,1750,Allende,43.9290963588,4.8016577397,0,1
2001,2001,Allende,43.9290662315,4.802589829,0,1
1557,1557,Joliot Curie,43.9816352366,4.9084923242,0,
1558,1558,Joliot Curie,43.9817001936,4.9084080666,0,
1425,1425,Marché de Villeneuve,43.9627952067,4.7994351005,0,
2336,2336,Martelange,43.9338743321,4.8031595369,0,
1601,1601,Les Cades,43.9687660391,5.0146469365,0,
1602,1602,Les Cades,43.9689544184,5.0146682802,0,
1605,1605,Rochefort Stade,43.9795851928,4.6856425532,0,
1847,1847,Rochefort Stade,43.978933903,4.6849803578,0,
2310,2310,Technopôle,43.9114606711,4.8846497116,0,1
2311,2311,Technopôle,43.9115881652,4.8849664765,0,1
1613,1613,Carpeaux,43.9488980062,4.8517437694,0,
1614,1614,Carpeaux,43.9491475878,4.8518419746,0,
2324,2324,Maréchaux,43.9772358313,4.7868959688,0,1
2325,2325,Maréchaux,43.977275697,4.786723309,0,1
2266,2266,Baigne Pieds,43.9261503619,4.7994889707,0,1
1623,1623,Rhône Durance,43.9217471579,4.8028818481,0,1
1624,1624,Rhône Durance,43.9219855375,4.8030788536,0,1
179,179,Daulands,43.9826602382,4.8751776006,0,1
241,241,Daulands,43.9825393733,4.8749604181,0,1
1627,1627,Petits Rougiers,43.9779729789,4.8717417305,0,1
1628,1628,Petits Rougiers,43.9780167475,4.8717935112,0,1
1799,1799,La FabricA,43.9355761816,4.7955289395,0,1
1800,1800,La FabricA,43.935554566,4.7952915167,0,1
1642,1642,Pimparins,43.9622579876,4.7560274704,0,1
1643,1643,Pimparins,43.9622820449,4.7557545441,0,1
1912,1912,Monteverdi,43.9283908688,4.7994492237,0,
1661,1661,Ste Geneviève,43.9303188412,4.7821713373,0,
1676,1676,Ste Geneviève,43.9302112929,4.7821542612,0,
1684,1684,Souspirous,43.934444345,4.869923186,0,
1685,1685,Souspirous,43.9344655017,4.8697872147,0,
502,502,Campveires,43.945254531,4.8919053107,0,
524,524,Campveires,43.9451872511,4.8920890221,0,
1694,1694,Saumades,44.0069092474,4.9415186476,0,
1707,1707,Le Béal,44.0047078023,4.926711732,0,1
1770,1770,Le Béal,44.0046278206,4.9266706924,0,1
1732,1732,Le Ponant,43.9595699208,4.7466488278,0,
173,173,De Lattre,43.96886271,4.7804570032,0,1
188,188,De Lattre,43.9688051621,4.7806164262,0,
1733,1733,Parc du Cosmos,43.9609699562,4.7536813995,0,1
1734,1734,Parc du Cosmos,43.9610487522,4.7533734528,0,1
2259,2259,Chateaubriand,43.9508214306,4.8549166519,0,
2264,2264,Chateaubriand,43.9508019597,4.85459208,0,
1764,1764,Cinq Cantons,43.9383269265,4.842101752,0,1
1765,1765,Cinq Cantons,43.9383396359,4.8419404949,0,1
1773,1773,Le Parc,43.9624233257,4.7844260933,0,
2129,2129,Le Parc,43.9624174481,4.7846873427,0,
107,107,Candau,43.9536347478,4.7856657653,0,
151,151,Candau,43.9536684752,4.7861652443,0,
1779,1779,Pont de l'Avocat,43.9654916674,5.0003567706,0,
1780,1780,Pont de l'Avocat,43.9655445108,5.0000354384,0,
1785,1785,Gare de Montfavet,43.9334217662,4.8725038046,0,
1786,1786,Gare de Montfavet,43.9331571318,4.87266624,0,
1787,1787,Primevères,43.9314803382,4.8735995078,0,
2236,2236,Primevères,43.9318096113,4.873365291,0,
2291,2291,P+R Italiens,43.9535167194,4.8229877558,0,1
2306,2306,Toscane,43.9529127654,4.8206828443,0,1
702,702,Demonque,43.9132423515,4.8869194549,0,1
724,724,Demonque,43.9132930551,4.8870585959,0,1
1809,1809,Molière,43.9562608144,4.7680361907,0,
1810,1810,Molière,43.9562375605,4.7682717653,0,
2250,2250,Cannonets,43.9526219447,4.9021976485,0,1
2251,2251,Cannonets,43.9525170537,4.9020683993,0,1
1708,1708,Avignon Poste,43.9431198579,4.8047810678,0,1
1712,1712,Avignon Poste,43.9431662408,4.8043224933,0,1
1714,1714,Avignon Poste,43.9431991225,4.8040625058,0,1
1716,1716,Avignon Poste,43.9432320035,4.8038025181,0,1
1718,1718,Avignon Poste,43.9432558983,4.8035421397,0,1
1720,1720,Avignon Poste,43.9431037062,4.8035106313,0,
1722,1722,Avignon Poste,43.94307139,4.8037457464,0,1
1726,1726,Avignon Poste,43.9430230346,4.8042913733,0,1
1728,1728,Avignon Poste,43.9429904345,4.8045389237,0,1
1932,1932,Gare Centre,43.942442638,4.8064819384,0,1
1933,1933,Gare Centre,43.9425285916,4.8062616081,0,1
2309,2309,Jaurès,43.943552771,4.8055218962,0,1
802,802,Avignon Poste,43.9433522418,4.8032600113,0,
1710,1710,Avignon Poste,43.9431524585,4.8045335169,0,
2076,2076,Violette,43.9375389289,4.8045758601,0,
2079,2079,Violette,43.9374746186,4.8046353012,0,
1820,1820,Buld'Air,43.9798048782,4.889574526,0,1
1824,1824,Agroparc Centre,43.9162795806,4.8874290898,0,1
1825,1825,Agroparc Centre,43.916208574,4.8873885728,0,1
1827,1827,Valente,43.9189525201,4.8719823354,0,1
1828,1828,Valente,43.9190681691,4.8720372707,0,1
447,447,Canotiers,43.9558318407,4.8125803031,0,
472,472,Canotiers,43.955919433,4.812683733,0,
2289,2289,Campus S & T,43.9252125796,4.8091052091,0,1
2290,2290,Campus S & T,43.9255359976,4.8095175125,0,1
2008,2008,D'Arbaud,43.9264563685,4.8117603043,0,
2009,2009,D'Arbaud,43.9264655662,4.812146493,0,
210,210,Deux Frères,43.9402136639,4.8292765212,0,1
269,269,Deux Frères,43.9403501571,4.829207825,0,1
43,43,Achard,43.9617773748,4.8622766003,0,
54,54,Achard,43.9616266417,4.8621827248,0,
490,490,Cantonne,43.9364657024,4.8758137815,0,
850,850,Cantonne,43.9362781846,4.8753697439,0,
1861,1861,Place Thomas,43.9630369406,4.8607137474,0,1
1862,1862,Place Thomas,43.9628377343,4.8599950694,0,1
1884,1884,Salle de Montfavet,43.9167860195,4.8888454496,0,1
1885,1885,Salle de Montfavet,43.9170984585,4.8889465881,0,1
1895,1895,François 1er,43.9290657613,4.8251158905,0,
1896,1896,François 1er,43.9289396798,4.825122812,0,
1914,1914,St Gens,43.9303845194,4.7852482009,0,
2123,2123,St Gens,43.930969307,4.7836430356,0,1
2124,2124,St Gens,43.92999724,4.784472335,0,1
1923,1923,Cap Sud,43.9305091722,4.8374755355,0,1
2034,2034,Cap Sud,43.9304689824,4.8368763687,0,1
1918,1918,St Agricol,43.9491109347,4.8035599805,0,
