trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
BCNCVV-21:00-41:00:00,41:00:00,41:00:00,ITCVV,2,,1,0,,,,
BCNCVV-21:00-41:00:00,21:00:00,21:00:00,ESBCN,1,,0,1,,,,
BCNCVV-20:30-40:30:00,40:30:00,40:30:00,ITCVV,2,,1,0,,,,
BCNCVV-20:30-40:30:00,20:30:00,20:30:00,ESBCN,1,,0,1,,,,
BCNCVV-02:00-22:00:00,22:00:00,22:00:00,ITCVV,2,,1,0,,,,
BCNCVV-02:00-22:00:00,02:00:00,02:00:00,ESBCN,1,,0,1,,,,
BCNCVV-01:30-21:30:00,21:30:00,21:30:00,ITCVV,2,,1,0,,,,
BCNCVV-01:30-21:30:00,01:30:00,01:30:00,ESBCN,1,,0,1,,,,
BCNCVV-00:30-20:30:00,20:30:00,20:30:00,ITCVV,2,,1,0,,,,
BCNCVV-00:30-20:30:00,00:30:00,00:30:00,ESBCN,1,,0,1,,,,
